1.png: uiqm=0.6928564896395583, uciqe=0.6048175714727239
10.png: uiqm=0.8846380791242119, uciqe=0.5528331743312673
11.png: uiqm=0.5340517766837967, uciqe=0.5776341317114132
12.png: uiqm=1.0565089641473506, uciqe=0.5633772538031783
13.png: uiqm=1.209468061643628, uciqe=0.58762113566476
14.png: uiqm=0.4991295795979388, uciqe=0.5474126183134118
15.png: uiqm=0.8333112435875529, uciqe=0.5859632265903996
16.png: uiqm=0.92270632097516, uciqe=0.550758493176734
17.png: uiqm=0.7433408937510557, uciqe=0.6424825018967284
18.png: uiqm=0.8965417252183941, uciqe=0.6699073685377996
19.png: uiqm=0.7685283743529944, uciqe=0.6171305185454122
2.png: uiqm=0.7674418809699654, uciqe=0.6155078054273987
20.png: uiqm=0.7378704541748398, uciqe=0.6056760835489533
21.png: uiqm=0.9080978558960915, uciqe=0.6897131697306326
22.png: uiqm=0.8969232136614356, uciqe=0.6197442849686403
23.png: uiqm=0.7315811987417006, uciqe=0.5896907131278741
24.png: uiqm=0.8794825289882291, uciqe=0.6842166557696476
25.png: uiqm=0.8968099315994811, uciqe=0.6480969673589679
26.png: uiqm=0.7294984414913401, uciqe=0.5773456851920125
27.png: uiqm=0.7890478278176744, uciqe=0.6584556829250892
28.png: uiqm=0.835277732204247, uciqe=0.6277009761432235
29.png: uiqm=1.0711873761020334, uciqe=0.5669707102854727
3.png: uiqm=0.8497868317789344, uciqe=0.5998760523919605
30.png: uiqm=0.34429241279179124, uciqe=0.662805936767749
31.png: uiqm=1.0197840639774371, uciqe=0.6247428256793643
32.png: uiqm=0.9728834454546388, uciqe=0.6345550451549365
33.png: uiqm=1.349254673480745, uciqe=0.6106022029248638
34.png: uiqm=1.160813927458153, uciqe=0.601375373233344
35.png: uiqm=1.1766198399399095, uciqe=0.6040769850196942
36.png: uiqm=1.1857814790233694, uciqe=0.5850678187223072
37.png: uiqm=0.9991780907023926, uciqe=0.6483158427049086
38.png: uiqm=0.9848054644693648, uciqe=0.6281107149879374
39.png: uiqm=0.9050995641866683, uciqe=0.6454366237813998
4.png: uiqm=0.5078523626368024, uciqe=0.5625834503638157
40.png: uiqm=1.2923102132379736, uciqe=0.5477917025151162
41.png: uiqm=1.07502858318779, uciqe=0.5595528415366825
42.png: uiqm=0.7356363030878015, uciqe=0.5989445209542569
43.png: uiqm=1.139120959043601, uciqe=0.6377782950651414
44.png: uiqm=1.0679207551117413, uciqe=0.6205200642458943
45.png: uiqm=1.0753131582530038, uciqe=0.6135221417467822
5.png: uiqm=0.8661997858057526, uciqe=0.6004316277239086
6.png: uiqm=1.0396124105628781, uciqe=0.6176600639100954
7.png: uiqm=0.6768821774173271, uciqe=0.5592632300273315
8.png: uiqm=0.7493641001440722, uciqe=0.6533244801285475
9.png: uiqm=1.018594921317244, uciqe=0.58985740672387

Average: uiqm=0.8994763438541795, uciqe=0.6086500438851477

