1.png: NIQE=47.457651039216415  with dealing time: 46.27833151817322
10.png: NIQE=45.51252770412169  with dealing time: 44.5442111492157
11.png: NIQE=57.5147762946151  with dealing time: 53.01852774620056
12.png: NIQE=41.738728002450316  with dealing time: 48.32736945152283
13.png: NIQE=34.569922001424274  with dealing time: 51.915719509124756
14.png: NIQE=47.50087555645752  with dealing time: 49.68634057044983
15.png: NIQE=40.92156099244755  with dealing time: 45.505003929138184
16.png: NIQE=47.40725422386118  with dealing time: 42.66105079650879
17.png: NIQE=36.521711098472586  with dealing time: 51.926979303359985
18.png: NIQE=37.88495006228035  with dealing time: 49.376240491867065
19.png: NIQE=39.961932347625925  with dealing time: 50.0942280292511
2.png: NIQE=51.81364083686421  with dealing time: 52.75842356681824
20.png: NIQE=40.94757124652266  with dealing time: 45.26907444000244
21.png: NIQE=36.23866301711917  with dealing time: 46.676281213760376
22.png: NIQE=39.42277763965815  with dealing time: 49.05407404899597
23.png: NIQE=36.225062737462814  with dealing time: 48.16772508621216
24.png: NIQE=34.67969043137287  with dealing time: 48.063520669937134
25.png: NIQE=42.50822258212441  with dealing time: 46.710352659225464
26.png: NIQE=42.32803506773813  with dealing time: 46.78338885307312
27.png: NIQE=36.08826064427334  with dealing time: 49.76153492927551
28.png: NIQE=35.36279351814097  with dealing time: 46.65303158760071
29.png: NIQE=51.53833442104111  with dealing time: 46.55894160270691
3.png: NIQE=48.61751404926519  with dealing time: 53.40337109565735
30.png: NIQE=67.48062100503132  with dealing time: 52.55972671508789
31.png: NIQE=39.997051747412065  with dealing time: 50.43427753448486
32.png: NIQE=37.718712282842155  with dealing time: 51.17217016220093
33.png: NIQE=33.42488573350717  with dealing time: 46.61152648925781
34.png: NIQE=41.22346250344242  with dealing time: 46.49171781539917
35.png: NIQE=38.91997322305367  with dealing time: 47.45358967781067
36.png: NIQE=38.59151074774142  with dealing time: 46.560033321380615
37.png: NIQE=33.92920367801853  with dealing time: 46.830968379974365
38.png: NIQE=37.036442615340306  with dealing time: 50.37253785133362
39.png: NIQE=41.22557816396013  with dealing time: 47.48912858963013
4.png: NIQE=45.401104942748916  with dealing time: 55.523688554763794
40.png: NIQE=34.92044676173067  with dealing time: 47.805641174316406
41.png: NIQE=39.07667044738169  with dealing time: 47.00115251541138
42.png: NIQE=40.71005709085677  with dealing time: 48.069546699523926
43.png: NIQE=35.53083822407663  with dealing time: 48.25325345993042
44.png: NIQE=34.614483062622995  with dealing time: 48.73644757270813
45.png: NIQE=33.66897549634382  with dealing time: 49.69632530212402
5.png: NIQE=40.4391096977855  with dealing time: 47.99990224838257
6.png: NIQE=53.14885661546423  with dealing time: 52.81013298034668
7.png: NIQE=42.02111640626112  with dealing time: 50.48111867904663
8.png: NIQE=59.65798807722899  with dealing time: 53.79749798774719
9.png: NIQE=45.18983464154676  with dealing time: 44.64904999732971

45 Image Average: NIQE=41.92643063731007, TimePerImage=48.755403465694855, SumTime = 2193.9931559562683s

