1.png: NIQE=49.45501065926429  with dealing time: 46.11257576942444
10.png: NIQE=44.5744833084944  with dealing time: 42.20371055603027
11.png: NIQE=55.411385039691424  with dealing time: 46.130805015563965
12.png: NIQE=43.68214007105949  with dealing time: 42.18496608734131
13.png: NIQE=34.15171515618463  with dealing time: 43.91379380226135
14.png: NIQE=46.64970577574221  with dealing time: 49.52574348449707
15.png: NIQE=46.38997442826489  with dealing time: 43.44624733924866
16.png: NIQE=45.84600463284291  with dealing time: 41.16933465003967
17.png: NIQE=42.22921889573164  with dealing time: 50.731605768203735
18.png: NIQE=36.621282015753174  with dealing time: 48.521034479141235
19.png: NIQE=43.20974145137334  with dealing time: 51.502318382263184
2.png: NIQE=53.133113723438676  with dealing time: 46.68259119987488
20.png: NIQE=46.04972730694218  with dealing time: 46.910874366760254
21.png: NIQE=34.255940341046546  with dealing time: 48.225666999816895
22.png: NIQE=45.71583812845831  with dealing time: 49.2699990272522
23.png: NIQE=37.81508278206728  with dealing time: 45.02381372451782
24.png: NIQE=33.89977596567621  with dealing time: 44.729207038879395
25.png: NIQE=41.7521395823375  with dealing time: 45.09772276878357
26.png: NIQE=43.035487137239414  with dealing time: 44.96131181716919
27.png: NIQE=37.19474755688187  with dealing time: 46.14224147796631
28.png: NIQE=34.18792867449372  with dealing time: 44.657378911972046
29.png: NIQE=55.84004227634341  with dealing time: 41.66484236717224
3.png: NIQE=57.36444830504499  with dealing time: 43.83528542518616
30.png: NIQE=59.32691689882081  with dealing time: 44.929094314575195
31.png: NIQE=37.84728389975591  with dealing time: 42.65647268295288
32.png: NIQE=36.29459052331967  with dealing time: 43.804439306259155
33.png: NIQE=35.59311442685328  with dealing time: 43.317729234695435
34.png: NIQE=43.30666799807643  with dealing time: 42.6576943397522
35.png: NIQE=38.76009809170726  with dealing time: 43.43077301979065
36.png: NIQE=41.40957828222699  with dealing time: 45.00024342536926
37.png: NIQE=33.75987610119559  with dealing time: 43.23146295547485
38.png: NIQE=38.16561521830955  with dealing time: 47.178969383239746
39.png: NIQE=42.369320978322925  with dealing time: 44.693694829940796
4.png: NIQE=48.20704666012595  with dealing time: 45.63799476623535
40.png: NIQE=33.08519867597751  with dealing time: 45.26270866394043
41.png: NIQE=36.8213134799311  with dealing time: 42.7907030582428
42.png: NIQE=41.65065812472236  with dealing time: 45.244192361831665
43.png: NIQE=36.73467963552185  with dealing time: 45.14901685714722
44.png: NIQE=34.096208848262805  with dealing time: 43.40021300315857
45.png: NIQE=34.12405529377672  with dealing time: 42.44461488723755
5.png: NIQE=45.29432467696698  with dealing time: 43.26509761810303
6.png: NIQE=55.46984833420309  with dealing time: 43.07811427116394
7.png: NIQE=44.29097094699137  with dealing time: 45.61710262298584
8.png: NIQE=55.34932560442545  with dealing time: 46.496782064437866
9.png: NIQE=44.200460213652946  with dealing time: 42.84365177154541

45 Image Average: NIQE=42.76937969172266, TimePerImage=44.99497413105435, SumTime = 2024.7738358974457s

