1.png: uiqm=0.6000649545871233, uciqe=0.5741784756289436
10.png: uiqm=0.8104848307862088, uciqe=0.5647267812148905
11.png: uiqm=0.6054207650684363, uciqe=0.5635331615150883
12.png: uiqm=1.118972681221734, uciqe=0.5616993114241843
13.png: uiqm=1.1946969162385088, uciqe=0.5829510396552362
14.png: uiqm=0.4648123880654381, uciqe=0.5395551760465956
15.png: uiqm=0.7685879411389346, uciqe=0.5754023086018258
16.png: uiqm=0.9424351235712054, uciqe=0.5556760910426579
17.png: uiqm=0.9451935234169281, uciqe=0.6243796730806094
18.png: uiqm=0.910697069926723, uciqe=0.6681416437328698
19.png: uiqm=0.6749181715986127, uciqe=0.6230031735219893
2.png: uiqm=0.7481206682315994, uciqe=0.6038235428044185
20.png: uiqm=0.7622377463846989, uciqe=0.6384156802567821
21.png: uiqm=0.9053467866499042, uciqe=0.6720758877644561
22.png: uiqm=0.6911998871486911, uciqe=0.6251677740470614
23.png: uiqm=0.757203985484146, uciqe=0.5816487520844197
24.png: uiqm=0.8831748756962475, uciqe=0.6448587814259591
25.png: uiqm=0.8941014229879253, uciqe=0.6442407609500588
26.png: uiqm=0.7944697319249612, uciqe=0.5814419137746596
27.png: uiqm=0.7931893235006666, uciqe=0.6478567940773048
28.png: uiqm=0.8793870622851839, uciqe=0.6324450910058907
29.png: uiqm=1.0433294412790945, uciqe=0.5738497463682475
3.png: uiqm=0.8514124324247042, uciqe=0.5908795915611622
30.png: uiqm=0.4773761564368465, uciqe=0.6214076199994303
31.png: uiqm=0.9755122796574283, uciqe=0.6231717757940797
32.png: uiqm=0.9398437922439132, uciqe=0.6320911386532089
33.png: uiqm=1.2755409543732736, uciqe=0.6008175450861178
34.png: uiqm=1.1218213798760197, uciqe=0.5980003876194806
35.png: uiqm=1.1305684094178974, uciqe=0.5939332068964069
36.png: uiqm=1.1154840010519855, uciqe=0.5933059697897818
37.png: uiqm=0.9789728635683795, uciqe=0.6356141423175334
38.png: uiqm=0.946858900048933, uciqe=0.6193531992044813
39.png: uiqm=0.8975566767218053, uciqe=0.6591203302609924
4.png: uiqm=0.43430503698531386, uciqe=0.5671498915843374
40.png: uiqm=1.2899303976230858, uciqe=0.5667043337366684
41.png: uiqm=1.0025955425039133, uciqe=0.5610871924363972
42.png: uiqm=0.7418011176551328, uciqe=0.5896814361186444
43.png: uiqm=1.1020801095585373, uciqe=0.630115818329714
44.png: uiqm=1.0471503670635331, uciqe=0.6289142571556927
45.png: uiqm=1.0073654125807976, uciqe=0.6220521391187082
5.png: uiqm=0.6215930595413931, uciqe=0.5708641446963294
6.png: uiqm=0.8295373677292832, uciqe=0.5920037608062259
7.png: uiqm=0.6084180907579552, uciqe=0.5504574084577154
8.png: uiqm=0.6292266508636357, uciqe=0.6090288962608237
9.png: uiqm=1.1532057309702601, uciqe=0.5850521112435008

Average: uiqm=0.8748044894854891, uciqe=0.6026639523811462

