1.png: NIQE=55.927909594583085  with dealing time: 49.317888498306274
10.png: NIQE=48.40457906806706  with dealing time: 45.0974600315094
11.png: NIQE=67.32256252867177  with dealing time: 50.380587339401245
12.png: NIQE=43.57726231688375  with dealing time: 50.59013295173645
13.png: NIQE=36.40771393452407  with dealing time: 50.270203828811646
14.png: NIQE=43.71858805131645  with dealing time: 49.522897720336914
15.png: NIQE=43.922088575815806  with dealing time: 45.4384331703186
16.png: NIQE=46.12772756050947  with dealing time: 43.630913734436035
17.png: NIQE=36.70659373454583  with dealing time: 51.55004286766052
18.png: NIQE=39.92040000927115  with dealing time: 49.66755795478821
19.png: NIQE=45.426755279981535  with dealing time: 54.22602868080139
2.png: NIQE=66.78296663525875  with dealing time: 49.276159048080444
20.png: NIQE=40.60442053090066  with dealing time: 46.173510789871216
21.png: NIQE=32.784079107743686  with dealing time: 45.642582416534424
22.png: NIQE=37.515701857303625  with dealing time: 51.92515826225281
23.png: NIQE=36.0437506214837  with dealing time: 46.9033637046814
24.png: NIQE=37.25025538456935  with dealing time: 48.47406554222107
25.png: NIQE=41.9879821454005  with dealing time: 46.28573513031006
26.png: NIQE=47.728253581140855  with dealing time: 47.43174195289612
27.png: NIQE=36.425650755718955  with dealing time: 50.1606285572052
28.png: NIQE=34.56287771900179  with dealing time: 47.78780555725098
29.png: NIQE=60.14539186087507  with dealing time: 47.13985824584961
3.png: NIQE=50.08806720260657  with dealing time: 54.75097465515137
30.png: NIQE=53.579567018556524  with dealing time: 52.69798994064331
31.png: NIQE=40.635179533553924  with dealing time: 52.328489780426025
32.png: NIQE=38.834833882297566  with dealing time: 47.90810489654541
33.png: NIQE=35.471796859903385  with dealing time: 46.6852707862854
34.png: NIQE=41.78834641871061  with dealing time: 46.49614214897156
35.png: NIQE=41.94919850991027  with dealing time: 47.236472606658936
36.png: NIQE=42.77407329299341  with dealing time: 46.6723952293396
37.png: NIQE=35.471519940745274  with dealing time: 47.61530113220215
38.png: NIQE=37.66442130600064  with dealing time: 50.267860412597656
39.png: NIQE=40.9602289942813  with dealing time: 51.64154076576233
4.png: NIQE=51.71142220950178  with dealing time: 52.59795618057251
40.png: NIQE=35.232227610962084  with dealing time: 47.77416110038757
41.png: NIQE=39.55984936849283  with dealing time: 46.6393518447876
42.png: NIQE=43.40791427089655  with dealing time: 47.255553007125854
43.png: NIQE=37.28974969539476  with dealing time: 48.222625970840454
44.png: NIQE=36.855568017949665  with dealing time: 50.447561502456665
45.png: NIQE=33.91567093899797  with dealing time: 47.96414113044739
5.png: NIQE=46.042632261958396  with dealing time: 49.01816368103027
6.png: NIQE=55.579774606804015  with dealing time: 53.4779736995697
7.png: NIQE=46.96206372156113  with dealing time: 53.02371692657471
8.png: NIQE=70.75076697364842  with dealing time: 49.15924549102783
9.png: NIQE=48.418641307125206  with dealing time: 43.490997314453125

45 Image Average: NIQE=44.09415610658709, TimePerImage=48.894772137535945, SumTime = 2200.2647461891174s

