1.png: uiqm=0.6484216197539421, uciqe=0.5912177347980789
10.png: uiqm=0.9835741997520142, uciqe=0.5691398334004267
11.png: uiqm=0.7005079730495077, uciqe=0.5543876414660933
12.png: uiqm=1.0922844881880374, uciqe=0.5481982657891813
13.png: uiqm=1.2242148904110124, uciqe=0.5716351736331093
14.png: uiqm=0.48887216601115957, uciqe=0.5307869014206316
15.png: uiqm=0.7674317659256016, uciqe=0.5655499606182892
16.png: uiqm=1.0344031972274843, uciqe=0.5433099459596543
17.png: uiqm=0.7302303338309226, uciqe=0.6441591101332655
18.png: uiqm=0.878105401918759, uciqe=0.6548146828929732
19.png: uiqm=0.7724633177746529, uciqe=0.6318998837789727
2.png: uiqm=0.7786789753759067, uciqe=0.608495350037431
20.png: uiqm=0.6985374531849103, uciqe=0.6395043581656996
21.png: uiqm=0.9165325290035365, uciqe=0.6769179553318097
22.png: uiqm=0.9787477522582181, uciqe=0.6086502420872058
23.png: uiqm=0.7146383243187773, uciqe=0.5800545152526261
24.png: uiqm=0.9236771980470243, uciqe=0.658541325634352
25.png: uiqm=0.8313003262791488, uciqe=0.6310300603928536
26.png: uiqm=0.7052228355892475, uciqe=0.5279190712984005
27.png: uiqm=0.7711416124068813, uciqe=0.655559431850669
28.png: uiqm=0.8318643702545366, uciqe=0.6260686612611738
29.png: uiqm=1.0245752734630535, uciqe=0.5713580458825369
3.png: uiqm=0.8142654740062376, uciqe=0.580194135191608
30.png: uiqm=0.5365118040109331, uciqe=0.6555208804716195
31.png: uiqm=1.0049038126963996, uciqe=0.6148046938400599
32.png: uiqm=0.9442495776748774, uciqe=0.6201395898822796
33.png: uiqm=1.3504834657225353, uciqe=0.5990715359912264
34.png: uiqm=1.1015965834448376, uciqe=0.5903923295503133
35.png: uiqm=1.1199818524972878, uciqe=0.590634324928092
36.png: uiqm=1.1697011767796803, uciqe=0.5827948540395458
37.png: uiqm=0.9732033768015014, uciqe=0.6356399173476694
38.png: uiqm=0.9410889448464839, uciqe=0.616570760287903
39.png: uiqm=0.9087153816912054, uciqe=0.6480160546879974
4.png: uiqm=0.41522350724285517, uciqe=0.5564227769384903
40.png: uiqm=1.2629929057881968, uciqe=0.5526910774727409
41.png: uiqm=1.0467311973112798, uciqe=0.5530280822299285
42.png: uiqm=0.8261545655280069, uciqe=0.5851244907867492
43.png: uiqm=1.126372882622819, uciqe=0.6169789945056658
44.png: uiqm=1.0868241121389801, uciqe=0.6163107212347779
45.png: uiqm=1.0636089745582529, uciqe=0.6123825290755035
5.png: uiqm=0.6676191486462972, uciqe=0.5606973706717572
6.png: uiqm=0.8164864732064013, uciqe=0.6022868252637765
7.png: uiqm=0.6539527097875714, uciqe=0.5400926994074245
8.png: uiqm=0.6928916552992737, uciqe=0.6360239798360595
9.png: uiqm=1.1289215549484115, uciqe=0.5792507033221848

Average: uiqm=0.8921757142505476, uciqe=0.5985392772899735

