1.png: NIQE=49.942795915726286  with dealing time: 46.923529863357544
10.png: NIQE=43.82581241466448  with dealing time: 42.45213770866394
11.png: NIQE=50.065223452238115  with dealing time: 48.366629123687744
12.png: NIQE=40.49169981045989  with dealing time: 42.833571434020996
13.png: NIQE=34.20058552389176  with dealing time: 44.434258460998535
14.png: NIQE=45.35666929824904  with dealing time: 49.238017559051514
15.png: NIQE=42.041697733237534  with dealing time: 42.61035466194153
16.png: NIQE=49.33357616350188  with dealing time: 44.20698380470276
17.png: NIQE=38.763245663675484  with dealing time: 51.40465021133423
18.png: NIQE=42.24215957326391  with dealing time: 49.69631552696228
19.png: NIQE=41.31447260740354  with dealing time: 50.413288831710815
2.png: NIQE=51.71368174262203  with dealing time: 46.49437093734741
20.png: NIQE=45.425395965281425  with dealing time: 46.71564245223999
21.png: NIQE=37.726127827456715  with dealing time: 44.46520280838013
22.png: NIQE=39.02735507267818  with dealing time: 48.80809783935547
23.png: NIQE=36.24482428589591  with dealing time: 44.31010413169861
24.png: NIQE=37.590594274159294  with dealing time: 45.62602210044861
25.png: NIQE=45.09892103723251  with dealing time: 44.22196650505066
26.png: NIQE=39.01495007087928  with dealing time: 44.83689737319946
27.png: NIQE=38.18183382785189  with dealing time: 45.6117217540741
28.png: NIQE=37.72267980207677  with dealing time: 43.703816175460815
29.png: NIQE=54.131552156342416  with dealing time: 40.52968740463257
3.png: NIQE=53.217473002060025  with dealing time: 43.61704349517822
30.png: NIQE=46.68645598183117  with dealing time: 45.29636740684509
31.png: NIQE=42.2564968026771  with dealing time: 42.397764444351196
32.png: NIQE=37.3012067944325  with dealing time: 43.79684042930603
33.png: NIQE=35.08250032010177  with dealing time: 42.46054244041443
34.png: NIQE=41.7488322795992  with dealing time: 42.506022930145264
35.png: NIQE=41.08677358292916  with dealing time: 42.559810638427734
36.png: NIQE=41.148712778513726  with dealing time: 43.20949411392212
37.png: NIQE=33.60331689609796  with dealing time: 43.91188907623291
38.png: NIQE=37.33431310558704  with dealing time: 46.04238796234131
39.png: NIQE=38.71652544148522  with dealing time: 43.84328746795654
4.png: NIQE=47.989404426971724  with dealing time: 46.373186111450195
40.png: NIQE=36.29836015187345  with dealing time: 43.86108589172363
41.png: NIQE=41.09573340005749  with dealing time: 43.64487838745117
42.png: NIQE=39.23083819221616  with dealing time: 44.41478776931763
43.png: NIQE=38.0219480434883  with dealing time: 42.87313723564148
44.png: NIQE=36.75536611853209  with dealing time: 41.96867656707764
45.png: NIQE=35.009841235302424  with dealing time: 42.48748064041138
5.png: NIQE=45.088043372301854  with dealing time: 43.43670988082886
6.png: NIQE=58.75363593408413  with dealing time: 43.44123697280884
7.png: NIQE=46.4391990906271  with dealing time: 45.10545492172241
8.png: NIQE=51.663764680035996  with dealing time: 45.8632595539093
9.png: NIQE=47.84351861946636  with dealing time: 42.05814743041992

45 Image Average: NIQE=42.48506921042357, TimePerImage=44.73495018747118, SumTime = 2013.072758436203s

