104_img_.png: NIQE=44.72220807590686  with dealing time: 58.65411901473999
10_img_.png: NIQE=43.05954743711568  with dealing time: 47.64692139625549
111_img_.png: NIQE=47.89223406171008  with dealing time: 48.28213930130005
112_img_.png: NIQE=40.73214625617795  with dealing time: 50.2849600315094
11_img_.png: NIQE=37.123503069220874  with dealing time: 47.964762926101685
13_img_.png: NIQE=39.41066713675534  with dealing time: 45.9997501373291
14_img_.png: NIQE=51.79675346468214  with dealing time: 46.93808341026306
15003.png: NIQE=42.711721303444875  with dealing time: 48.5725781917572
150_img_.png: NIQE=41.78182030524886  with dealing time: 45.18015503883362
15544.png: NIQE=37.26556084811568  with dealing time: 49.19780468940735
15_img_.png: NIQE=36.23215190482558  with dealing time: 46.664082050323486
169_img_.png: NIQE=43.13533865306034  with dealing time: 43.784247636795044
16_img_.png: NIQE=37.302564288764536  with dealing time: 46.74800181388855
17_img_.png: NIQE=37.91921511607775  with dealing time: 43.669076681137085
18_img_.png: NIQE=45.31923990478286  with dealing time: 44.02761912345886
19_img_.png: NIQE=32.936622256443414  with dealing time: 46.55308270454407
20.png: NIQE=39.22296946217366  with dealing time: 44.21684145927429
22_img_.png: NIQE=41.16246270324436  with dealing time: 47.36123752593994
23_img_.png: NIQE=37.9886549940261  with dealing time: 48.40705227851868
24_img_.png: NIQE=54.06834265456168  with dealing time: 48.09303951263428
282_img_.png: NIQE=40.884519159589445  with dealing time: 45.44005537033081
284_img_.png: NIQE=42.81615423153818  with dealing time: 47.021066427230835
288_img_.png: NIQE=40.746472764928875  with dealing time: 46.67515563964844
290_img_.png: NIQE=38.967183998481545  with dealing time: 46.45752215385437
292_img_.png: NIQE=39.27488404850685  with dealing time: 48.32234454154968
293_img_.png: NIQE=42.740104984022544  with dealing time: 46.10673189163208
294_img_.png: NIQE=41.054441251642515  with dealing time: 53.75473690032959
295_img_.png: NIQE=40.276533023528295  with dealing time: 46.16116404533386
299_img_.png: NIQE=45.672820028189676  with dealing time: 49.51928639411926
2_img_.png: NIQE=35.03017235635323  with dealing time: 46.93594288825989
300_img_.png: NIQE=44.87257330533121  with dealing time: 46.03969883918762
301_img_.png: NIQE=49.563248675478484  with dealing time: 48.87156915664673
302_img_.png: NIQE=45.56492251357133  with dealing time: 47.79947543144226
303_img_.png: NIQE=46.670818931699394  with dealing time: 47.66594958305359
304_img_.png: NIQE=44.68644014489257  with dealing time: 44.74378752708435
305_img_.png: NIQE=41.134356959315646  with dealing time: 47.098257541656494
306_img_.png: NIQE=35.813098587134284  with dealing time: 45.21562480926514
307_img_.png: NIQE=43.55465385474574  with dealing time: 45.49182486534119
30_img_.png: NIQE=35.20462973771784  with dealing time: 46.408132791519165
311_img_.png: NIQE=45.019487137599825  with dealing time: 43.935502767562866
312_img_.png: NIQE=39.912390336551724  with dealing time: 46.494136333465576
313_img_.png: NIQE=40.4668518864455  with dealing time: 46.22020125389099
314_img_.png: NIQE=46.23269919538412  with dealing time: 46.834853410720825
315_img_.png: NIQE=36.628945003639906  with dealing time: 44.92132091522217
316_img_.png: NIQE=43.03927566920476  with dealing time: 46.92298936843872
317_img_.png: NIQE=41.422278435053194  with dealing time: 48.10366344451904
318_img_.png: NIQE=43.07149160921449  with dealing time: 49.99895215034485
319_img_.png: NIQE=46.831822048043655  with dealing time: 47.4496488571167
320_img_.png: NIQE=43.95507671659152  with dealing time: 49.5214741230011
322_img_.png: NIQE=40.664875919194465  with dealing time: 48.98347473144531
323_img_.png: NIQE=42.2230881330692  with dealing time: 50.251463890075684
324_img_.png: NIQE=39.303894485360864  with dealing time: 47.169657707214355
325_img_.png: NIQE=33.701999529406386  with dealing time: 49.78808069229126
326_img_.png: NIQE=36.87012518610078  with dealing time: 49.692420959472656
327_img_.png: NIQE=42.102655876823036  with dealing time: 58.06213855743408
330_img_.png: NIQE=42.85781024570567  with dealing time: 64.99577808380127
332_img_.png: NIQE=41.27702766333626  with dealing time: 64.66983699798584
334_img_.png: NIQE=44.5331861895875  with dealing time: 63.24957799911499
336_img_.png: NIQE=40.07193688061944  with dealing time: 51.46172785758972
337_img_.png: NIQE=36.31102954411705  with dealing time: 48.52607464790344
338_img_.png: NIQE=42.26313225600273  with dealing time: 50.9618034362793
340_img_.png: NIQE=46.99654729413056  with dealing time: 49.97292232513428
341_img_.png: NIQE=46.81007084729443  with dealing time: 46.67954897880554
342_img_.png: NIQE=49.93750604453177  with dealing time: 43.449978828430176
343_img_.png: NIQE=42.79498110437856  with dealing time: 45.11816620826721
346_img_.png: NIQE=41.13783034663076  with dealing time: 44.494364738464355
347_img_.png: NIQE=42.321657787495546  with dealing time: 47.20199179649353
348_img_.png: NIQE=48.89797387134972  with dealing time: 48.8870804309845
350_img_.png: NIQE=39.79262531623376  with dealing time: 54.92766976356506
351_img_.png: NIQE=45.08774212320073  with dealing time: 44.894683837890625
353_img_.png: NIQE=47.37004095704377  with dealing time: 47.49059796333313
355_img_.png: NIQE=49.39026929325123  with dealing time: 50.32986855506897
356_img_.png: NIQE=42.517896951481255  with dealing time: 48.96116590499878
359_img_.png: NIQE=41.504066142250586  with dealing time: 49.23987865447998
360_img_.png: NIQE=47.1524669170252  with dealing time: 52.03809595108032
361_img_.png: NIQE=44.34702635671051  with dealing time: 54.07332158088684
362_img_.png: NIQE=49.620644544741545  with dealing time: 48.36063098907471
363_img_.png: NIQE=47.18631479527696  with dealing time: 49.38450312614441
364_img_.png: NIQE=44.590407664522786  with dealing time: 52.393075466156006
366_img_.png: NIQE=40.98014947073582  with dealing time: 45.56498050689697
367_img_.png: NIQE=41.60333926799166  with dealing time: 49.27558422088623
3_img_.png: NIQE=34.05624778207353  with dealing time: 48.377893686294556
4.png: NIQE=38.76330030108574  with dealing time: 51.86569285392761
406_img_.png: NIQE=38.763580862119476  with dealing time: 53.363935470581055
419_img_.png: NIQE=44.88608866884457  with dealing time: 48.02750277519226
41_img_.png: NIQE=40.51880113486902  with dealing time: 45.29635000228882
421_img_.png: NIQE=40.11211236475545  with dealing time: 47.38237690925598
460_img_.png: NIQE=38.56855994413125  with dealing time: 48.06652355194092
466_img_.png: NIQE=44.07783404927923  with dealing time: 46.774794816970825
471_img_.png: NIQE=47.60221714530014  with dealing time: 45.20105290412903
472_img_.png: NIQE=51.778192986678384  with dealing time: 43.37239146232605
476_img_.png: NIQE=48.43760706296896  with dealing time: 46.02813005447388
48_img_.png: NIQE=36.58443923957077  with dealing time: 55.21800661087036
495_img_.png: NIQE=50.52360143333652  with dealing time: 43.98038959503174
