104_img_: PSNR=25.91508196651935 SSIM=0.9110191968277885 UIQM=0.6873347785913351 UCIQE=0.5906765541654034
10_img_: PSNR=14.64715781654364 SSIM=0.22057311486443854 UIQM=0.41661992715595575 UCIQE=0.6429759089113326
111_img_: PSNR=27.03914511916368 SSIM=0.9310895043451747 UIQM=0.15224842647662773 UCIQE=0.537797585921732
112_img_: PSNR=24.21357980991974 SSIM=0.8758236761637119 UIQM=0.8044915589294468 UCIQE=0.6236437844183482
11_img_: PSNR=18.131240032557308 SSIM=0.8085988006208599 UIQM=1.0664254538111932 UCIQE=0.6395273978388358
13_img_: PSNR=21.263502284616088 SSIM=0.8535260220723105 UIQM=1.0034545057552702 UCIQE=0.6249126117246783
14_img_: PSNR=26.09002283886458 SSIM=0.9000974150936585 UIQM=0.9123719814247799 UCIQE=0.6612724058047901
15003: PSNR=21.490396673001335 SSIM=0.6231572927346358 UIQM=0.1825189787568522 UCIQE=0.4970185445296137
150_img_: PSNR=25.410133485929464 SSIM=0.8512598491960748 UIQM=1.0822835982376544 UCIQE=0.638636690879028
15544: PSNR=23.992543015323825 SSIM=0.9030077979463986 UIQM=0.3613142830113173 UCIQE=0.5187006976057197
15_img_: PSNR=21.188106567410028 SSIM=0.863837757919564 UIQM=1.3488240693192992 UCIQE=0.6641313643030518
169_img_: PSNR=25.33626090228777 SSIM=0.8362734097565645 UIQM=1.7022538218335959 UCIQE=0.5723042247927976
16_img_: PSNR=20.737807472326818 SSIM=0.590962480810289 UIQM=1.0849804783253916 UCIQE=0.6037495706007983
17_img_: PSNR=24.280735968996005 SSIM=0.8927784820333837 UIQM=1.378385196756264 UCIQE=0.6251457805247158
18_img_: PSNR=18.210064103051543 SSIM=0.5392018879520446 UIQM=0.8813956353278667 UCIQE=0.5021306677550164
19_img_: PSNR=20.106420479511016 SSIM=0.7047623063141017 UIQM=1.2901499053548269 UCIQE=0.620543324514235
20: PSNR=22.21890748726368 SSIM=0.8607845669840962 UIQM=1.172550469907375 UCIQE=0.6004147788027956
