100001.png: NIQE=48.12681562337485  with dealing time: 55.59408402442932
10091.png: NIQE=37.747990573397146  with dealing time: 46.47900176048279
10103.png: NIQE=41.05553790325938  with dealing time: 48.612693786621094
10167.png: NIQE=35.26215960249291  with dealing time: 47.43843960762024
102.png: NIQE=43.27250479878656  with dealing time: 49.37565040588379
10226.png: NIQE=46.533270275742325  with dealing time: 50.4443359375
10475.png: NIQE=53.455399717801924  with dealing time: 47.38326859474182
10488.png: NIQE=48.31825907860727  with dealing time: 46.773767709732056
12191.png: NIQE=39.186535934175616  with dealing time: 45.200918436050415
12203.png: NIQE=35.604176289141876  with dealing time: 47.031750202178955
12228.png: NIQE=47.8176468476408  with dealing time: 45.55771565437317
12565.png: NIQE=37.98820047025209  with dealing time: 46.10296416282654
12577.png: NIQE=38.55961239304478  with dealing time: 45.13501262664795
12625.png: NIQE=45.27407657728032  with dealing time: 50.185224533081055
12709.png: NIQE=44.8405753647864  with dealing time: 47.67821192741394
12753.png: NIQE=42.376341723568984  with dealing time: 45.34962058067322
12960.png: NIQE=54.526704893670455  with dealing time: 48.76587915420532
12972.png: NIQE=55.89677809371778  with dealing time: 49.40066933631897
13252.png: NIQE=46.913687840404386  with dealing time: 47.392701387405396
13259.png: NIQE=46.42303679728827  with dealing time: 45.82008075714111
15603.png: NIQE=39.34066708109537  with dealing time: 51.722346782684326
15735.png: NIQE=42.2410328850298  with dealing time: 48.82479524612427
15738.png: NIQE=37.34452990008959  with dealing time: 51.058300495147705
15740.png: NIQE=57.69416024013965  with dealing time: 48.29908013343811
15774.png: NIQE=55.09593931265891  with dealing time: 47.6207640171051
15775.png: NIQE=55.51393310306068  with dealing time: 49.553608894348145
2.png: NIQE=41.6159506577964  with dealing time: 53.6086049079895
2575.png: NIQE=40.842841215760004  with dealing time: 48.34724140167236
2583.png: NIQE=46.59135100649354  with dealing time: 47.893516302108765
2856.png: NIQE=42.22180516278057  with dealing time: 46.167860984802246
3027.png: NIQE=34.093904357193075  with dealing time: 43.97671914100647
3051.png: NIQE=35.98480595897347  with dealing time: 47.148640155792236
3087.png: NIQE=36.228444723361825  with dealing time: 44.28630518913269
3175.png: NIQE=52.56471387723087  with dealing time: 47.60978937149048
3201.png: NIQE=47.146254242809505  with dealing time: 45.29081654548645
3279.png: NIQE=47.35775103811003  with dealing time: 47.871089220047
34.png: NIQE=42.923007927654645  with dealing time: 47.62342357635498
3494.png: NIQE=42.343472246892574  with dealing time: 47.37346315383911
3519.png: NIQE=42.851484001456676  with dealing time: 52.49047565460205
358_img_.png: NIQE=47.40766192528634  with dealing time: 48.5330970287323
432.png: NIQE=67.76572225925433  with dealing time: 51.003987550735474
5.png: NIQE=57.58348705746488  with dealing time: 50.81992435455322
52.png: NIQE=37.09368144344894  with dealing time: 48.63491415977478
579.png: NIQE=35.740285572981875  with dealing time: 48.75757312774658
605.png: NIQE=43.304257190000264  with dealing time: 47.43002247810364
616.png: NIQE=43.634019661978456  with dealing time: 46.88184714317322
627.png: NIQE=38.32774179228493  with dealing time: 47.770195960998535
6333.png: NIQE=67.30013572561987  with dealing time: 50.00996232032776
6340.png: NIQE=54.484184018502226  with dealing time: 49.155046701431274
643_img_.png: NIQE=34.96215905438136  with dealing time: 50.47833299636841
6527.png: NIQE=48.74327644868575  with dealing time: 52.74953246116638
7277.png: NIQE=37.81949079476345  with dealing time: 46.8592689037323
7291.png: NIQE=42.97007747788182  with dealing time: 47.56845450401306
770.png: NIQE=39.52811595073101  with dealing time: 54.66684079170227
866.png: NIQE=43.84981810541579  with dealing time: 61.035664081573486
880.png: NIQE=43.62440955393766  with dealing time: 66.108553647995
9553.png: NIQE=46.88699755485786  with dealing time: 62.34607791900635
9602.png: NIQE=41.44813959457025  with dealing time: 53.33540606498718
9607.png: NIQE=34.12196965853595  with dealing time: 49.10612750053406
9618.png: NIQE=38.04035885726077  with dealing time: 51.55109524726868

60 Image Average: NIQE=44.56352249058109, TimePerImage=49.28817927837372, SumTime = 2957.290756702423s

