100001.png: uiqm=0.7081938080271942, uciqe=0.5171175260659054
10091.png: uiqm=0.9165478307851564, uciqe=0.588660418906868
10103.png: uiqm=1.0487575318215043, uciqe=0.5968838318347496
10167.png: uiqm=0.3439024669272118, uciqe=0.5926501471970165
102.png: uiqm=0.4660553264658547, uciqe=0.5573613411017706
10226.png: uiqm=0.5065991223109418, uciqe=0.5993608504590067
10475.png: uiqm=0.5317692085680886, uciqe=0.5603740716030601
10488.png: uiqm=0.4144615213063211, uciqe=0.5631484772357028
12191.png: uiqm=0.7670246264014748, uciqe=0.5352800886180498
12203.png: uiqm=0.5106762656592565, uciqe=0.5520179861062617
12228.png: uiqm=0.5952600002678677, uciqe=0.52432956001412
12565.png: uiqm=0.7062954935720656, uciqe=0.5376346667418609
12577.png: uiqm=0.7797760101000073, uciqe=0.5252297832852697
12625.png: uiqm=-0.11742789589250724, uciqe=0.5345687419867442
12709.png: uiqm=0.5607149479010394, uciqe=0.5651080982600145
12753.png: uiqm=-0.29636566089320004, uciqe=0.5155144019618881
12960.png: uiqm=0.624991328150916, uciqe=0.5785571675860967
12972.png: uiqm=0.6438164527038555, uciqe=0.6402073488257967
13252.png: uiqm=0.33686551369364615, uciqe=0.5729141822260133
13259.png: uiqm=0.8685342812756216, uciqe=0.5950975342083031
15603.png: uiqm=0.543255421225132, uciqe=0.5348796142989759
15735.png: uiqm=0.1732138620605419, uciqe=0.4628921912222256
15738.png: uiqm=0.1779785671479882, uciqe=0.5231314992496721
15740.png: uiqm=0.3842857096876615, uciqe=0.5571759304831576
15774.png: uiqm=0.7970313668166111, uciqe=0.5763567015969283
15775.png: uiqm=-0.06147451558143702, uciqe=0.4814247837596338
2.png: uiqm=1.1971436663081103, uciqe=0.596964231159904
2575.png: uiqm=0.9301310131985241, uciqe=0.6068416448294266
2583.png: uiqm=0.46173681253381416, uciqe=0.6100606799156689
2856.png: uiqm=0.37580298957002256, uciqe=0.600805848173873
3027.png: uiqm=1.2372089252152203, uciqe=0.602540809264879
3051.png: uiqm=0.7108637582453368, uciqe=0.5749116211664292
3087.png: uiqm=1.3828817025031308, uciqe=0.5915912354962267
3175.png: uiqm=-0.1630539898190353, uciqe=0.5253566167678466
3201.png: uiqm=1.086111064010142, uciqe=0.5522115221189398
3279.png: uiqm=0.8281557349192106, uciqe=0.5604706797621097
34.png: uiqm=0.6631476630553946, uciqe=0.6659228399540318
3494.png: uiqm=-0.007975403673140202, uciqe=0.5643739574297046
3519.png: uiqm=0.5079357875176169, uciqe=0.6198563381368418
358_img_.png: uiqm=0.6655770710587916, uciqe=0.6270606481984214
432.png: uiqm=0.20941248247311928, uciqe=0.5361154402612027
5.png: uiqm=0.30200570645911295, uciqe=0.582355735428203
52.png: uiqm=0.7681154952723669, uciqe=0.6912387308998793
579.png: uiqm=0.711693800428251, uciqe=0.6273070258861471
605.png: uiqm=0.8175381573791097, uciqe=0.5798584140208486
616.png: uiqm=0.9225762179042717, uciqe=0.6196552493343586
627.png: uiqm=0.8082431938097197, uciqe=0.6013469604849978
6333.png: uiqm=0.42075541245653614, uciqe=0.5097447265941681
6340.png: uiqm=0.5587301635486154, uciqe=0.5248133291442149
643_img_.png: uiqm=0.8246144969195616, uciqe=0.6281306066801612
6527.png: uiqm=0.4474388476505745, uciqe=0.525613370120884
7277.png: uiqm=0.9343213232655382, uciqe=0.5555115655253147
7291.png: uiqm=0.9002616704624925, uciqe=0.5810117106454401
770.png: uiqm=0.8870411647677194, uciqe=0.5924504805462739
866.png: uiqm=1.0821071220200957, uciqe=0.5691129820206947
880.png: uiqm=0.9843204213297428, uciqe=0.5938667027044533
9553.png: uiqm=1.1062878776328837, uciqe=0.6333830061511129
9602.png: uiqm=0.7031953595391275, uciqe=0.5802691204250063
9607.png: uiqm=0.9091337377438061, uciqe=0.5592153985852099
9618.png: uiqm=0.6447535667192246, uciqe=0.6080139826242377

Average: uiqm=0.6291491933822304, uciqe=0.5730976692548702

