100001.png: NIQE=37.3355460090893  with dealing time: 54.141701221466064
10091.png: NIQE=22.57931657781703  with dealing time: 56.92377018928528
10103.png: NIQE=25.915844781261605  with dealing time: 58.36823606491089
10167.png: NIQE=25.338729673784066  with dealing time: 56.864895820617676
102.png: NIQE=27.856563682226923  with dealing time: 59.03217315673828
10226.png: NIQE=28.755268251171298  with dealing time: 60.766780376434326
10475.png: NIQE=34.451850983898716  with dealing time: 55.44394111633301
10488.png: NIQE=34.82440192415552  with dealing time: 56.24604797363281
12191.png: NIQE=25.619558624025  with dealing time: 53.58888125419617
12203.png: NIQE=22.17907709736793  with dealing time: 54.50955152511597
12228.png: NIQE=33.68551215040749  with dealing time: 48.810208797454834
12565.png: NIQE=23.401646072021837  with dealing time: 54.30907154083252
12577.png: NIQE=23.582941589259118  with dealing time: 54.007195711135864
12625.png: NIQE=29.831159030050507  with dealing time: 57.29015922546387
12709.png: NIQE=27.17353175841119  with dealing time: 53.186819314956665
12753.png: NIQE=34.74623186219269  with dealing time: 49.868398904800415
12960.png: NIQE=41.35095587710344  with dealing time: 56.638858795166016
12972.png: NIQE=34.27247210131113  with dealing time: 57.28243398666382
13252.png: NIQE=36.41067384549459  with dealing time: 56.424084424972534
13259.png: NIQE=25.980046494009223  with dealing time: 54.11636686325073
15603.png: NIQE=27.08491030791676  with dealing time: 59.08783960342407
15735.png: NIQE=27.2435610179151  with dealing time: 52.9406623840332
15738.png: NIQE=27.821459955525388  with dealing time: 58.60136127471924
15740.png: NIQE=45.43259487329547  with dealing time: 55.876585721969604
15774.png: NIQE=35.01479150790044  with dealing time: 56.17164087295532
15775.png: NIQE=40.65605328525039  with dealing time: 56.4314284324646
2.png: NIQE=20.860222424228645  with dealing time: 56.50702714920044
2575.png: NIQE=23.692236754871487  with dealing time: 57.48304080963135
2583.png: NIQE=26.579268124054067  with dealing time: 53.8508574962616
2856.png: NIQE=23.89000229550516  with dealing time: 54.26928234100342
3027.png: NIQE=21.66134357339463  with dealing time: 53.38300061225891
3051.png: NIQE=19.805134831568985  with dealing time: 54.04372024536133
3087.png: NIQE=22.322765492955515  with dealing time: 53.83684992790222
3175.png: NIQE=39.59805685242591  with dealing time: 53.40940022468567
3201.png: NIQE=24.86561150915509  with dealing time: 55.079832792282104
3279.png: NIQE=26.12163344589703  with dealing time: 56.16573882102966
34.png: NIQE=22.69315211218166  with dealing time: 57.67715907096863
3494.png: NIQE=30.053267613883378  with dealing time: 55.694013833999634
3519.png: NIQE=32.25600363185848  with dealing time: 58.61681413650513
358_img_.png: NIQE=46.925943885446536  with dealing time: 57.143348693847656
432.png: NIQE=49.177824106486476  with dealing time: 58.75747013092041
5.png: NIQE=30.915225971888027  with dealing time: 59.83920216560364
52.png: NIQE=22.83669177629419  with dealing time: 57.618263721466064
579.png: NIQE=25.82176040928809  with dealing time: 57.325281381607056
605.png: NIQE=23.09882815347684  with dealing time: 52.73125243186951
616.png: NIQE=19.921396289457025  with dealing time: 48.681087493896484
627.png: NIQE=22.101741321060835  with dealing time: 50.42051148414612
6333.png: NIQE=44.31030970664535  with dealing time: 52.41312289237976
6340.png: NIQE=37.579588106940825  with dealing time: 51.83512568473816
643_img_.png: NIQE=17.024800725791394  with dealing time: 52.4688618183136
6527.png: NIQE=31.357730174045777  with dealing time: 51.466304063797
7277.png: NIQE=20.156767766054024  with dealing time: 47.42667770385742
7291.png: NIQE=27.168489788323164  with dealing time: 48.92817187309265
770.png: NIQE=20.09719814498087  with dealing time: 49.903600454330444
866.png: NIQE=31.544810589432245  with dealing time: 50.85304355621338
880.png: NIQE=28.17488621606155  with dealing time: 51.6454644203186
9553.png: NIQE=29.51912191210993  with dealing time: 50.450541734695435
9602.png: NIQE=24.951522833595224  with dealing time: 49.180726528167725
9607.png: NIQE=22.424094905069445  with dealing time: 50.03321719169617
9618.png: NIQE=25.223428853385737  with dealing time: 51.29819202423096

60 Image Average: NIQE=28.887925993844597, TimePerImage=54.45608832438787, SumTime = 3267.365299463272s

