100001.png: uiqm=0.6360534035405446, uciqe=0.49920435371676575
10091.png: uiqm=0.6011291122275706, uciqe=0.592007034074754
10103.png: uiqm=1.1061179747010939, uciqe=0.577486637629347
10167.png: uiqm=0.48848926201284015, uciqe=0.5794518720816321
102.png: uiqm=0.3471918655031173, uciqe=0.5491077188011374
10226.png: uiqm=0.47880812052387633, uciqe=0.588416125955494
10475.png: uiqm=0.5254008789433935, uciqe=0.544022513290719
10488.png: uiqm=0.24757576070700948, uciqe=0.5494619755576859
12191.png: uiqm=0.9228533365165408, uciqe=0.5079675883034807
12203.png: uiqm=0.5326842776714501, uciqe=0.5405054192187388
12228.png: uiqm=0.722099578284997, uciqe=0.5284661446830637
12565.png: uiqm=0.9206494201518844, uciqe=0.5184972564736946
12577.png: uiqm=1.0098533025249044, uciqe=0.53609559284069
12625.png: uiqm=0.057491631405024696, uciqe=0.504183893178922
12709.png: uiqm=0.5668522906923774, uciqe=0.5500343020207714
12753.png: uiqm=-0.07095680481265365, uciqe=0.490210300466804
12960.png: uiqm=0.5833298352441232, uciqe=0.5556686525367804
12972.png: uiqm=0.512869262504104, uciqe=0.6137103575118668
13252.png: uiqm=0.37768985461132126, uciqe=0.5458422483935214
13259.png: uiqm=1.102354089390082, uciqe=0.5817923248605077
15603.png: uiqm=0.35117955122524375, uciqe=0.49110086140422793
15735.png: uiqm=0.0693566841985771, uciqe=0.42892325322455854
15738.png: uiqm=0.2871855194894772, uciqe=0.5297582212957762
15740.png: uiqm=0.46618341967787114, uciqe=0.542221074513365
15774.png: uiqm=0.7466426688833008, uciqe=0.5622232321153617
15775.png: uiqm=0.12659032670889536, uciqe=0.45285035757281045
2.png: uiqm=1.51592030198732, uciqe=0.5727158830049264
2575.png: uiqm=0.7727375513061605, uciqe=0.5881591054216133
2583.png: uiqm=0.4770469596562603, uciqe=0.6028263226600162
2856.png: uiqm=0.2817019789343235, uciqe=0.5945987636286469
3027.png: uiqm=1.1572515656311337, uciqe=0.6150999273663853
3051.png: uiqm=0.5808062547342083, uciqe=0.5867980770743555
3087.png: uiqm=1.2516630453410311, uciqe=0.5925096655633952
3175.png: uiqm=-0.07755850734473971, uciqe=0.49561469424517574
3201.png: uiqm=0.6959223964221961, uciqe=0.5218154721863485
3279.png: uiqm=0.8318584542999503, uciqe=0.5371390309462692
34.png: uiqm=0.6134881715974454, uciqe=0.6606787211441119
3494.png: uiqm=0.05568744442343232, uciqe=0.5652001988195821
3519.png: uiqm=0.5142903060810439, uciqe=0.6050996464627731
358_img_.png: uiqm=0.707805202244121, uciqe=0.6332124291485122
432.png: uiqm=0.20060239041052874, uciqe=0.530327829393899
5.png: uiqm=0.26411273727001405, uciqe=0.5856866529874085
52.png: uiqm=0.7295021400808889, uciqe=0.6894828165482862
579.png: uiqm=0.4555424592086113, uciqe=0.6049121392687624
605.png: uiqm=0.7522342252152097, uciqe=0.5788139303776323
616.png: uiqm=0.8182761233324666, uciqe=0.6129715446782149
627.png: uiqm=0.6747455667893757, uciqe=0.6028568660701089
6333.png: uiqm=0.3254355107918082, uciqe=0.5029957164042209
6340.png: uiqm=0.35644613614842946, uciqe=0.5307460933213227
643_img_.png: uiqm=1.1196262798808232, uciqe=0.6110541863756748
6527.png: uiqm=0.13196976746218125, uciqe=0.49441371081264374
7277.png: uiqm=1.1582399484122805, uciqe=0.5348936977373633
7291.png: uiqm=1.12604944281433, uciqe=0.5670531794843902
770.png: uiqm=1.044025721531331, uciqe=0.5765339018442711
866.png: uiqm=0.6401999718175415, uciqe=0.5526203551027667
880.png: uiqm=0.82745711903545, uciqe=0.5739693694142769
9553.png: uiqm=1.0920326246632328, uciqe=0.6319343326330619
9602.png: uiqm=0.8542239203523103, uciqe=0.5760509357946838
9607.png: uiqm=0.8872036070429106, uciqe=0.5485516856807138
9618.png: uiqm=0.46119716246326425, uciqe=0.6019244336074135

Average: uiqm=0.6168903100427311, uciqe=0.5606411771155283

