12433.png: NIQE=34.62088034973413  with dealing time: 57.48444318771362
149.png: NIQE=44.31618140605728  with dealing time: 53.91489887237549
161.png: NIQE=35.61065793161567  with dealing time: 51.43832325935364
264574_00031858.png: NIQE=38.12383906429152  with dealing time: 44.92108750343323
264734_00038535.png: NIQE=33.47120881626228  with dealing time: 42.85318994522095
265119_00013763.png: NIQE=41.496189002816784  with dealing time: 46.37967300415039
265130_00031309.png: NIQE=35.70973672854942  with dealing time: 45.847140312194824
265344_00029330.png: NIQE=39.022547428090746  with dealing time: 46.62720227241516
306_img_.png: NIQE=35.813098587134284  with dealing time: 44.606549978256226
332_img_.png: NIQE=41.27702766333626  with dealing time: 48.861767292022705
3330.png: NIQE=47.63251874369859  with dealing time: 49.347071170806885
36.png: NIQE=37.49207875648712  with dealing time: 49.00507092475891
387_img_.png: NIQE=39.94619159572678  with dealing time: 45.83739256858826
757_img_.png: NIQE=34.334382986293285  with dealing time: 43.4650092124939
819_img_.png: NIQE=36.17639763864931  with dealing time: 45.582441568374634
96.png: NIQE=44.733413467701574  with dealing time: 48.13552451133728
GI_1.png: NIQE=39.677911171528585  with dealing time: 42.90482020378113
GI_16.png: NIQE=47.683783074991204  with dealing time: 49.69128489494324
GI_2.png: NIQE=50.331522996108404  with dealing time: 42.89904499053955
GI_22.png: NIQE=43.89321185814408  with dealing time: 49.656455278396606
GI_29.png: NIQE=91.8508118960392  with dealing time: 48.676464319229126
GI_33.png: NIQE=37.091676277820575  with dealing time: 45.95520520210266
GI_35.png: NIQE=36.51793435131918  with dealing time: 49.73559331893921
GI_43.png: NIQE=36.84609664939439  with dealing time: 49.51254606246948
GI_7.png: NIQE=37.43360594670684  with dealing time: 43.788909673690796
GI_78.png: NIQE=36.99931533621651  with dealing time: 45.92712354660034
GI_8.png: NIQE=38.66840399939693  with dealing time: 46.86754131317139
GI_95.png: NIQE=36.06143959122614  with dealing time: 50.54303240776062
gmn_5017up.png: NIQE=30.425682356279278  with dealing time: 46.020912170410156
gmn_5029up.png: NIQE=44.88380981323304  with dealing time: 46.06268334388733
gmn_5148up.png: NIQE=38.31495867428052  with dealing time: 48.29654598236084
gmn_5183up.png: NIQE=37.11718896254352  with dealing time: 45.475974321365356
gmn_5185up.png: NIQE=36.55297902243361  with dealing time: 48.32916069030762
gmn_5228up.png: NIQE=32.63170039547113  with dealing time: 45.55969429016113
gmn_7856up.png: NIQE=35.97801914502112  with dealing time: 43.39543676376343
gmn_7919up.png: NIQE=45.05382197619333  with dealing time: 45.46317720413208
im_f1582_.png: NIQE=40.71714523669603  with dealing time: 45.48730945587158
im_f2253_.png: NIQE=48.868017030420596  with dealing time: 45.75489163398743
n01496331_1010.png: NIQE=46.25736141138632  with dealing time: 45.4657142162323
n01496331_2044.png: NIQE=44.61849084430191  with dealing time: 45.64093732833862
n01914609_1112.png: NIQE=44.0279481638402  with dealing time: 46.32870626449585
n01914609_11380.png: NIQE=29.61074987375977  with dealing time: 46.66507697105408
n01914609_13222.png: NIQE=32.850741545865915  with dealing time: 46.31167387962341
n01914609_13909.png: NIQE=34.614374143588634  with dealing time: 44.68173861503601
n01914609_1437.png: NIQE=51.825554991930346  with dealing time: 44.396162271499634
n01914609_1980.png: NIQE=47.203969431016496  with dealing time: 47.0287926197052
n01914609_2054.png: NIQE=49.09362891527233  with dealing time: 45.4583420753479
n01914609_7919.png: NIQE=44.42347260533375  with dealing time: 48.4909291267395
n02607072_2382.png: NIQE=49.22872933102789  with dealing time: 50.02725434303284
n02607072_5845.png: NIQE=39.62611600909913  with dealing time: 48.54484033584595
n02607072_931.png: NIQE=44.33796178214744  with dealing time: 48.432116985321045
NF_1.png: NIQE=61.677428073188025  with dealing time: 52.8213312625885
NF_10.png: NIQE=64.20937436989112  with dealing time: 52.50595474243164
NF_100.png: NIQE=39.76169963491917  with dealing time: 48.11741852760315
NF_110.png: NIQE=47.17423676359741  with dealing time: 54.51847314834595
NF_116.png: NIQE=44.792864564849566  with dealing time: 59.53797674179077
NF_123.png: NIQE=43.07342841638428  with dealing time: 68.89875960350037
NF_124.png: NIQE=38.295023551322416  with dealing time: 63.23425030708313
NF_13.png: NIQE=72.42737957763906  with dealing time: 61.80489730834961
NF_14.png: NIQE=58.25223544873867  with dealing time: 48.69705390930176
NF_141.png: NIQE=36.783050266558966  with dealing time: 48.36639046669006
NF_147.png: NIQE=36.796231106062415  with dealing time: 53.104867935180664
NF_148.png: NIQE=39.45270721297636  with dealing time: 50.0996880531311
NF_166.png: NIQE=46.96773729014019  with dealing time: 47.97596573829651
NF_171.png: NIQE=37.795400590259696  with dealing time: 47.162370920181274
NF_172.png: NIQE=41.17919026161842  with dealing time: 47.55384635925293
NF_174.png: NIQE=42.1272790338645  with dealing time: 48.41358542442322
NF_177.png: NIQE=43.34846676806297  with dealing time: 52.47794508934021
NF_194.png: NIQE=79.76937763490712  with dealing time: 58.897850036621094
NF_195.png: NIQE=39.04777463760188  with dealing time: 50.50673961639404
NF_2.png: NIQE=56.98249570664692  with dealing time: 53.899038314819336
NF_201.png: NIQE=41.85615243861495  with dealing time: 51.617151498794556
NF_209.png: NIQE=37.13682572958023  with dealing time: 47.0105664730072
NF_213.png: NIQE=37.84426790763036  with dealing time: 49.42657542228699
NF_215.png: NIQE=43.33406074161097  with dealing time: 47.818174839019775
NF_218.png: NIQE=51.37135648901642  with dealing time: 47.80580520629883
NF_231.png: NIQE=35.73429229053354  with dealing time: 54.3742790222168
NF_241.png: NIQE=33.414920982712445  with dealing time: 48.08018136024475
NF_242.png: NIQE=41.28979331058049  with dealing time: 51.37316155433655
NF_252.png: NIQE=43.43637898308721  with dealing time: 51.243632078170776
NF_26.png: NIQE=45.91897233884605  with dealing time: 51.96192526817322
NF_280.png: NIQE=47.77530501758883  with dealing time: 49.83018970489502
NF_285.png: NIQE=41.20271704912314  with dealing time: 47.20517683029175
NF_287.png: NIQE=46.36944918748731  with dealing time: 53.0273072719574
NF_313.png: NIQE=51.537124179161495  with dealing time: 49.03823471069336
NF_32.png: NIQE=54.49280053309912  with dealing time: 52.28194570541382
NF_363.png: NIQE=51.216300216128836  with dealing time: 47.14292550086975
NF_364.png: NIQE=44.0297680551512  with dealing time: 46.29938244819641
NF_387.png: NIQE=46.868512455572386  with dealing time: 47.86002254486084
NF_410.png: NIQE=52.466856087710255  with dealing time: 48.18508553504944
NF_417.png: NIQE=56.01105165870897  with dealing time: 47.7187225818634
NF_466.png: NIQE=47.95053535375224  with dealing time: 47.82921075820923
NF_470.png: NIQE=41.12300937963101  with dealing time: 51.55221343040466
NF_507.png: NIQE=49.23034919338688  with dealing time: 48.35035824775696
NF_512.png: NIQE=46.00318381059645  with dealing time: 51.22239971160889
NF_518.png: NIQE=40.24183336579888  with dealing time: 50.11526036262512
NF_52.png: NIQE=47.31019623163099  with dealing time: 48.97442293167114
NF_56.png: NIQE=45.0659559658986  with dealing time: 49.549166440963745
NF_57.png: NIQE=46.44136783027647  with dealing time: 46.120004177093506
NF_60.png: NIQE=47.92463170110892  with dealing time: 47.371236085891724
NF_69.png: NIQE=40.278696554023334  with dealing time: 50.30845808982849
NF_7.png: NIQE=54.75156227070846  with dealing time: 47.54885268211365
NF_70.png: NIQE=41.51177087391003  with dealing time: 50.14020252227783
NF_75.png: NIQE=37.12139184486221  with dealing time: 45.449822187423706
NF_78.png: NIQE=40.313220092344324  with dealing time: 47.88381481170654
NF_8.png: NIQE=40.19910164951309  with dealing time: 49.45244216918945
NF_81.png: NIQE=38.43843371682026  with dealing time: 56.9698166847229
NF_85.png: NIQE=40.323456251882384  with dealing time: 51.8108446598053
NF_94.png: NIQE=34.134068115321  with dealing time: 44.67208290100098
NF_95.png: NIQE=40.33951595119925  with dealing time: 40.97111439704895

110 Image Average: NIQE=43.572882288093794, TimePerImage=48.92699499997226, SumTime = 5381.969449996948s

