12433.png: uiqm=0.7323787248465427, uciqe=0.5601618269440358
149.png: uiqm=0.4126137350179834, uciqe=0.5047221598882915
161.png: uiqm=0.39061727551965075, uciqe=0.5572028288646185
264574_00031858.png: uiqm=1.342179170894949, uciqe=0.5504992796912348
264734_00038535.png: uiqm=0.6943299822457356, uciqe=0.5733213071507794
265119_00013763.png: uiqm=0.24045679942559617, uciqe=0.5696640425686905
265130_00031309.png: uiqm=0.6242432317248287, uciqe=0.5469526846341038
265344_00029330.png: uiqm=0.6870830659311155, uciqe=0.5576493048085547
306_img_.png: uiqm=0.4422755105859403, uciqe=0.5510116341945719
332_img_.png: uiqm=0.6350679025707241, uciqe=0.6238024229323386
3330.png: uiqm=0.6150048906058203, uciqe=0.6128209987085371
36.png: uiqm=0.24342354457044313, uciqe=0.5443418330825426
387_img_.png: uiqm=0.8792554321952457, uciqe=0.6148430379466672
757_img_.png: uiqm=0.9007125219428236, uciqe=0.5667379506727781
819_img_.png: uiqm=0.3880524097162703, uciqe=0.5546251008592447
96.png: uiqm=0.8208338618261513, uciqe=0.5358066617497383
GI_1.png: uiqm=0.9385744834222309, uciqe=0.5327293702197234
GI_16.png: uiqm=0.20837159202942512, uciqe=0.5333281003075139
GI_2.png: uiqm=1.1555476293201226, uciqe=0.5187585550665502
GI_22.png: uiqm=-0.24774597170480728, uciqe=0.5067023794091027
GI_29.png: uiqm=0.5386618231986783, uciqe=0.5631499419996183
GI_33.png: uiqm=0.9704080474062826, uciqe=0.6151840890089939
GI_35.png: uiqm=0.5558087048139662, uciqe=0.6669049001380364
GI_43.png: uiqm=0.4100895554661931, uciqe=0.6246990984281777
GI_7.png: uiqm=1.2860655493886557, uciqe=0.5340749086969632
GI_78.png: uiqm=0.8352862142484458, uciqe=0.582821414465583
GI_8.png: uiqm=1.3401907289001884, uciqe=0.5432661683664749
GI_95.png: uiqm=0.21285533802267242, uciqe=0.5693501753844973
gmn_5017up.png: uiqm=0.7918531226584461, uciqe=0.5871223058565325
gmn_5029up.png: uiqm=0.5645257675134887, uciqe=0.5813740606590068
gmn_5148up.png: uiqm=0.42157439399839813, uciqe=0.6496745371024738
gmn_5183up.png: uiqm=0.9320896182211386, uciqe=0.5627989929200519
gmn_5185up.png: uiqm=0.9083608947735905, uciqe=0.62746737453608
gmn_5228up.png: uiqm=0.8482352729755743, uciqe=0.5660124172152631
gmn_7856up.png: uiqm=0.9500620797850351, uciqe=0.6085491270705372
gmn_7919up.png: uiqm=0.6730681897020964, uciqe=0.5534064952795389
im_f1582_.png: uiqm=1.3912725930443086, uciqe=0.5910873643176193
im_f2253_.png: uiqm=0.37723459964792105, uciqe=0.5465756894337541
n01496331_1010.png: uiqm=0.7185001884412233, uciqe=0.5497778131081748
n01496331_2044.png: uiqm=0.8572047244341139, uciqe=0.5935676985361613
n01914609_1112.png: uiqm=0.6029611796226289, uciqe=0.6155414627775406
n01914609_11380.png: uiqm=0.7217813866053477, uciqe=0.5402132385592445
n01914609_13222.png: uiqm=0.6505456005398734, uciqe=0.5240153160804103
n01914609_13909.png: uiqm=1.3849412367087708, uciqe=0.5496552269278863
n01914609_1437.png: uiqm=0.4499685891513602, uciqe=0.60037178165123
n01914609_1980.png: uiqm=1.0526090801105106, uciqe=0.5847020633440314
n01914609_2054.png: uiqm=0.6508935690315596, uciqe=0.5503308369208622
n01914609_7919.png: uiqm=0.6640412092575978, uciqe=0.5660974634134143
n02607072_2382.png: uiqm=0.29992731510700077, uciqe=0.5650300179651524
n02607072_5845.png: uiqm=0.29260341672348844, uciqe=0.5887740036570165
n02607072_931.png: uiqm=0.49810683829052227, uciqe=0.5775013118620191
NF_1.png: uiqm=0.23022823393066516, uciqe=0.627231275617229
NF_10.png: uiqm=0.20132781602847394, uciqe=0.5356355341071228
NF_100.png: uiqm=0.18420687281290715, uciqe=0.5633340770812756
NF_110.png: uiqm=0.2429742795936578, uciqe=0.5392933005058049
NF_116.png: uiqm=0.44668459529730653, uciqe=0.5344224845945615
NF_123.png: uiqm=-0.09715412197625661, uciqe=0.5131116239030755
NF_124.png: uiqm=0.5776349852037431, uciqe=0.546951481066061
NF_13.png: uiqm=0.09418279470606361, uciqe=0.5013011671859505
NF_14.png: uiqm=0.36773340080798045, uciqe=0.5005901304482928
NF_141.png: uiqm=0.4516085437296288, uciqe=0.5458072136971708
NF_147.png: uiqm=0.42144303121386606, uciqe=0.5385732209770991
NF_148.png: uiqm=0.3935769792547481, uciqe=0.5549925705606471
NF_166.png: uiqm=0.5892037081806631, uciqe=0.5429796694138495
NF_171.png: uiqm=0.5243792269565013, uciqe=0.5564838041383869
NF_172.png: uiqm=-0.017450009429383906, uciqe=0.5414653515375275
NF_174.png: uiqm=0.6170663059604451, uciqe=0.5598070371167004
NF_177.png: uiqm=0.5992939964134684, uciqe=0.569210485312966
NF_194.png: uiqm=-0.09562709663162072, uciqe=0.6324726732868728
NF_195.png: uiqm=0.2392328369094212, uciqe=0.5513584262785929
NF_2.png: uiqm=0.0796475950562896, uciqe=0.5844443892938169
NF_201.png: uiqm=-0.00873233598034684, uciqe=0.588772044979966
NF_209.png: uiqm=0.6793766660545075, uciqe=0.5887747771322182
NF_213.png: uiqm=0.4569806402713604, uciqe=0.5689853751277698
NF_215.png: uiqm=0.019352201909837108, uciqe=0.5515033148292249
NF_218.png: uiqm=0.8539350582002052, uciqe=0.578973145992128
NF_231.png: uiqm=0.8007419630324569, uciqe=0.5305505096445113
NF_241.png: uiqm=0.44298489354658166, uciqe=0.5592715932207863
NF_242.png: uiqm=0.24580051016540672, uciqe=0.5323790864938834
NF_252.png: uiqm=0.6019885352302272, uciqe=0.5506070751858109
NF_26.png: uiqm=0.36875783012000773, uciqe=0.5126280091015054
NF_280.png: uiqm=0.5071266046615074, uciqe=0.6692593011576521
NF_285.png: uiqm=0.8025811605501293, uciqe=0.6253298555225819
NF_287.png: uiqm=0.03509636035529973, uciqe=0.5478857351636501
NF_313.png: uiqm=0.5482033835535406, uciqe=0.5894707213820969
NF_32.png: uiqm=0.15727493739131115, uciqe=0.5126046326089666
NF_363.png: uiqm=0.1983853072498064, uciqe=0.5144351668117367
NF_364.png: uiqm=0.2755224559164191, uciqe=0.5290899200526631
NF_387.png: uiqm=0.2368814846332452, uciqe=0.5252204873017061
NF_410.png: uiqm=0.35886203009945306, uciqe=0.5532046716821309
NF_417.png: uiqm=0.1469544076079684, uciqe=0.5240785575387359
NF_466.png: uiqm=0.24791222445287897, uciqe=0.5299640632673885
NF_470.png: uiqm=0.828984645437946, uciqe=0.5710342796365944
NF_507.png: uiqm=0.041208175019832316, uciqe=0.5720233311299672
NF_512.png: uiqm=0.7453150073054727, uciqe=0.579981491893997
NF_518.png: uiqm=0.7519855428748423, uciqe=0.574562093674191
NF_52.png: uiqm=0.36039607277719243, uciqe=0.5222122148914394
NF_56.png: uiqm=-0.15592343526342056, uciqe=0.5335833568022734
NF_57.png: uiqm=0.16974610362765097, uciqe=0.5505143927154013
NF_60.png: uiqm=0.2160603953242155, uciqe=0.546005545813375
NF_69.png: uiqm=0.6111289695396563, uciqe=0.6735374940838097
NF_7.png: uiqm=0.27327825634960345, uciqe=0.5210505786267995
NF_70.png: uiqm=0.5396466399486047, uciqe=0.6671599071250744
NF_75.png: uiqm=0.9090993354706902, uciqe=0.5721327968469507
NF_78.png: uiqm=0.7710225962044689, uciqe=0.5994140257235008
NF_8.png: uiqm=0.39704538837828596, uciqe=0.5521326948262719
NF_81.png: uiqm=0.18137793983661143, uciqe=0.5382979372269985
NF_85.png: uiqm=1.130210226091661, uciqe=0.6113737188361918
NF_94.png: uiqm=0.8389652104403097, uciqe=0.5272571528581791
NF_95.png: uiqm=1.4899943965497664, uciqe=0.5303234770754773

Average: uiqm=0.5370974943584512, uciqe=0.5641802656862596

