12433.png: NIQE=21.932727468335067  with dealing time: 59.38300037384033
149.png: NIQE=24.653259725530067  with dealing time: 58.004894733428955
161.png: NIQE=32.10180273159301  with dealing time: 60.02664136886597
264574_00031858.png: NIQE=38.12383906429152  with dealing time: 52.11049485206604
264734_00038535.png: NIQE=33.47120881626228  with dealing time: 50.74672794342041
265119_00013763.png: NIQE=41.496189002816784  with dealing time: 54.51179337501526
265130_00031309.png: NIQE=35.70973672854942  with dealing time: 53.77459740638733
265344_00029330.png: NIQE=39.022547428090746  with dealing time: 54.10024046897888
306_img_.png: NIQE=38.02294491218054  with dealing time: 51.93119978904724
332_img_.png: NIQE=40.54773167192945  with dealing time: 56.778631925582886
3330.png: NIQE=31.65865021865957  with dealing time: 56.748626708984375
36.png: NIQE=21.11389188010897  with dealing time: 53.308337688446045
387_img_.png: NIQE=24.032564956084595  with dealing time: 51.18169856071472
757_img_.png: NIQE=17.8535777954856  with dealing time: 51.79547572135925
819_img_.png: NIQE=22.704815472141654  with dealing time: 54.15716052055359
96.png: NIQE=27.691779363247626  with dealing time: 56.795023918151855
GI_1.png: NIQE=21.072793228286486  with dealing time: 51.89914083480835
GI_16.png: NIQE=36.64079153245917  with dealing time: 54.65719270706177
GI_2.png: NIQE=24.378517523013787  with dealing time: 50.67296862602234
GI_22.png: NIQE=25.463413096232973  with dealing time: 56.80394124984741
GI_29.png: NIQE=59.51859599942573  with dealing time: 54.11430358886719
GI_33.png: NIQE=20.429925803249922  with dealing time: 54.273125886917114
GI_35.png: NIQE=20.863465433363334  with dealing time: 56.463383436203
GI_43.png: NIQE=22.483494858893096  with dealing time: 58.451770305633545
GI_7.png: NIQE=17.525055627470497  with dealing time: 53.837040185928345
GI_78.png: NIQE=20.517159868295032  with dealing time: 56.528151750564575
GI_8.png: NIQE=18.237234555907413  with dealing time: 53.01046872138977
GI_95.png: NIQE=21.399848134797036  with dealing time: 55.517250299453735
gmn_5017up.png: NIQE=18.642909515953765  with dealing time: 55.02154564857483
gmn_5029up.png: NIQE=22.530340456047476  with dealing time: 53.04436540603638
gmn_5148up.png: NIQE=18.664137907037077  with dealing time: 55.05143594741821
gmn_5183up.png: NIQE=18.076174227239573  with dealing time: 53.94409513473511
gmn_5185up.png: NIQE=21.8714096037054  with dealing time: 56.55196404457092
gmn_5228up.png: NIQE=17.5993904706832  with dealing time: 54.515676736831665
gmn_7856up.png: NIQE=18.26136879735992  with dealing time: 51.406421422958374
gmn_7919up.png: NIQE=22.817417606620882  with dealing time: 54.51961708068848
im_f1582_.png: NIQE=17.306097849921652  with dealing time: 56.234140396118164
im_f2253_.png: NIQE=40.06812228105362  with dealing time: 52.810399770736694
n01496331_1010.png: NIQE=46.25736141138632  with dealing time: 52.934996128082275
n01496331_2044.png: NIQE=44.61849084430191  with dealing time: 51.48136258125305
n01914609_1112.png: NIQE=44.0279481638402  with dealing time: 53.43360495567322
n01914609_11380.png: NIQE=19.60335065359229  with dealing time: 54.598191261291504
n01914609_13222.png: NIQE=20.61478383083726  with dealing time: 53.86983823776245
n01914609_13909.png: NIQE=21.4492070874166  with dealing time: 53.51564264297485
n01914609_1437.png: NIQE=51.825554991930346  with dealing time: 51.04817819595337
n01914609_1980.png: NIQE=47.203969431016496  with dealing time: 49.240095138549805
n01914609_2054.png: NIQE=49.09362891527233  with dealing time: 49.10249900817871
n01914609_7919.png: NIQE=44.42347260533375  with dealing time: 49.20247220993042
n02607072_2382.png: NIQE=49.22872933102789  with dealing time: 52.24065852165222
n02607072_5845.png: NIQE=27.178985012107347  with dealing time: 52.6900897026062
n02607072_931.png: NIQE=44.33796178214744  with dealing time: 50.83834171295166
NF_1.png: NIQE=39.654476285082325  with dealing time: 50.797828674316406
NF_10.png: NIQE=54.734844496723404  with dealing time: 52.773266553878784
NF_100.png: NIQE=32.01857657154853  with dealing time: 47.793954610824585
NF_110.png: NIQE=37.24291443352116  with dealing time: 51.358704805374146
