12433.png: uiqm=0.8567443605563587, uciqe=0.5583423409428154
149.png: uiqm=0.20026560229441287, uciqe=0.4997644327723812
161.png: uiqm=0.49956263945266977, uciqe=0.5568243036861458
264574_00031858.png: uiqm=1.342179170894949, uciqe=0.5504992796912348
264734_00038535.png: uiqm=0.6943299822457356, uciqe=0.5733213071507794
265119_00013763.png: uiqm=0.24045679942559617, uciqe=0.5696640425686905
265130_00031309.png: uiqm=0.6242432317248287, uciqe=0.5469526846341038
265344_00029330.png: uiqm=0.6870830659311155, uciqe=0.5576493048085547
306_img_.png: uiqm=0.4832467418833565, uciqe=0.5474751643450675
332_img_.png: uiqm=0.67435594030934, uciqe=0.6176699185073473
3330.png: uiqm=0.49150313555235653, uciqe=0.6054554994295028
36.png: uiqm=0.5079675330805093, uciqe=0.534746208866864
387_img_.png: uiqm=1.129081336091915, uciqe=0.5981700898927983
757_img_.png: uiqm=1.0635523407818221, uciqe=0.5640725967223773
819_img_.png: uiqm=0.3856111133596549, uciqe=0.549449385101076
96.png: uiqm=0.7970407174598335, uciqe=0.5391279650542248
GI_1.png: uiqm=1.1958309621183383, uciqe=0.5146646385163075
GI_16.png: uiqm=0.3861087006694629, uciqe=0.5264782987816685
GI_2.png: uiqm=1.5368473829935116, uciqe=0.5171121878361156
GI_22.png: uiqm=0.047346306106266944, uciqe=0.5098968681309956
GI_29.png: uiqm=0.7514882725629559, uciqe=0.5609672578233391
GI_33.png: uiqm=1.1578409147346744, uciqe=0.6149219232314314
GI_35.png: uiqm=0.5287867201708101, uciqe=0.6656018183969343
GI_43.png: uiqm=0.28010901112228115, uciqe=0.6253038098186041
GI_7.png: uiqm=1.4303350685676886, uciqe=0.5189422961867557
GI_78.png: uiqm=0.6230111922490059, uciqe=0.5790409912254627
GI_8.png: uiqm=1.6251860997785008, uciqe=0.5289458668989937
GI_95.png: uiqm=0.4695722088683799, uciqe=0.5501852398431855
gmn_5017up.png: uiqm=0.7582521390368283, uciqe=0.593988412144861
gmn_5029up.png: uiqm=0.7185354808854733, uciqe=0.5923448179651868
gmn_5148up.png: uiqm=0.5658769820707688, uciqe=0.645777626609191
gmn_5183up.png: uiqm=0.8783468965627871, uciqe=0.5623282976196511
gmn_5185up.png: uiqm=0.8016349100590584, uciqe=0.6353217353606754
gmn_5228up.png: uiqm=0.8256025241528298, uciqe=0.56084202286466
gmn_7856up.png: uiqm=1.131205941832671, uciqe=0.6319869624629244
gmn_7919up.png: uiqm=0.7283517441439906, uciqe=0.5648666400912363
im_f1582_.png: uiqm=1.3658033508123808, uciqe=0.5826024096738933
im_f2253_.png: uiqm=0.3381482412383865, uciqe=0.5450653573975656
n01496331_1010.png: uiqm=0.7185001884412233, uciqe=0.5497778131081748
n01496331_2044.png: uiqm=0.8572047244341139, uciqe=0.5935676985361613
n01914609_1112.png: uiqm=0.6029611796226289, uciqe=0.6155414627775406
n01914609_11380.png: uiqm=0.7736884778977945, uciqe=0.5225320800143292
n01914609_13222.png: uiqm=0.6052639298851336, uciqe=0.51981620166359
n01914609_13909.png: uiqm=1.502776638578244, uciqe=0.5539553737504268
n01914609_1437.png: uiqm=0.4499685891513602, uciqe=0.60037178165123
n01914609_1980.png: uiqm=1.0526090801105106, uciqe=0.5847020633440314
n01914609_2054.png: uiqm=0.6508935690315596, uciqe=0.5503308369208622
n01914609_7919.png: uiqm=0.6640412092575978, uciqe=0.5660974634134143
n02607072_2382.png: uiqm=0.29992731510700077, uciqe=0.5650300179651524
n02607072_5845.png: uiqm=0.297139906821408, uciqe=0.582013804707078
n02607072_931.png: uiqm=0.49810683829052227, uciqe=0.5775013118620191
NF_1.png: uiqm=0.6772805132979351, uciqe=0.5873117317841441
NF_10.png: uiqm=0.32483404952684614, uciqe=0.5221687088390532
NF_100.png: uiqm=0.4127065006797364, uciqe=0.5609400135213269
NF_110.png: uiqm=0.3226399082561999, uciqe=0.5261793737550065
NF_116.png: uiqm=0.7240158808092889, uciqe=0.5253067288688138
NF_123.png: uiqm=0.082186566409642, uciqe=0.5098039432938735
NF_124.png: uiqm=0.7617024570831761, uciqe=0.5439569335635503
NF_13.png: uiqm=0.16202048535861135, uciqe=0.48034101002612506
NF_14.png: uiqm=0.33943452153649056, uciqe=0.48333405423235626
NF_141.png: uiqm=0.6128231861106619, uciqe=0.5363933838615725
NF_147.png: uiqm=0.5617829101506335, uciqe=0.5202588445620266
NF_148.png: uiqm=0.7976783371973564, uciqe=0.5551066244913858
NF_166.png: uiqm=0.9215660747881594, uciqe=0.541449666518983
NF_171.png: uiqm=0.7652752085463912, uciqe=0.5680528101811044
NF_172.png: uiqm=0.3551964031860712, uciqe=0.5391437297543553
NF_174.png: uiqm=0.8143412973139108, uciqe=0.553012206841576
NF_177.png: uiqm=0.7489699436549502, uciqe=0.5669415740519903
NF_194.png: uiqm=0.1700609180742984, uciqe=0.6163241167606288
NF_195.png: uiqm=0.37505619440582794, uciqe=0.5348850213835399
NF_2.png: uiqm=0.3430458870350016, uciqe=0.583846953148124
NF_201.png: uiqm=0.24290629659839658, uciqe=0.5689041842354787
NF_209.png: uiqm=0.7463983824089702, uciqe=0.5871392902535666
NF_213.png: uiqm=0.6589321496417806, uciqe=0.5673787014675722
NF_215.png: uiqm=0.3084244760914166, uciqe=0.5337437509923529
NF_218.png: uiqm=1.1337185475214464, uciqe=0.5603402287161012
NF_231.png: uiqm=0.7574407653331828, uciqe=0.5198660721023837
NF_241.png: uiqm=0.5210986220132456, uciqe=0.55159282387464
NF_242.png: uiqm=0.4157364491566424, uciqe=0.5189520238474971
NF_252.png: uiqm=0.6767883147551682, uciqe=0.5529493865998614
NF_26.png: uiqm=0.5774677096149959, uciqe=0.5078514447555762
NF_280.png: uiqm=0.41348110494298357, uciqe=0.6484238908022959
NF_285.png: uiqm=0.7348823000644836, uciqe=0.6366162180630766
NF_287.png: uiqm=0.17592891852793663, uciqe=0.5483445464182982
NF_313.png: uiqm=0.56352002402391, uciqe=0.5799923006271952
NF_32.png: uiqm=0.09654339608224372, uciqe=0.5095028186534428
NF_363.png: uiqm=0.3337453920898435, uciqe=0.5010566018633006
NF_364.png: uiqm=0.28680932476994114, uciqe=0.5297503866771023
NF_387.png: uiqm=0.1530424128127985, uciqe=0.5425985205031382
NF_410.png: uiqm=0.3052634552774694, uciqe=0.5398564473857111
NF_417.png: uiqm=0.004757776414561543, uciqe=0.5184826571302577
NF_466.png: uiqm=0.3579607308702393, uciqe=0.5386057362399539
NF_470.png: uiqm=0.622059405061439, uciqe=0.5789031841051272
NF_507.png: uiqm=0.08938412743624352, uciqe=0.5789728123234802
NF_512.png: uiqm=0.6337016489223107, uciqe=0.5672685558311154
NF_518.png: uiqm=0.5273736074116271, uciqe=0.5799381489646758
NF_52.png: uiqm=0.3959765948708538, uciqe=0.5167000021960614
NF_56.png: uiqm=0.029520939520852718, uciqe=0.5367514196195811
NF_57.png: uiqm=0.3527570568884182, uciqe=0.5630663050588169
NF_60.png: uiqm=0.189825162376749, uciqe=0.5453012738041744
NF_69.png: uiqm=0.5911660440874258, uciqe=0.6716527355850017
NF_7.png: uiqm=0.3920524667414142, uciqe=0.48889859516204714
NF_70.png: uiqm=0.49287726578229113, uciqe=0.672227567759796
NF_75.png: uiqm=0.7659059192355948, uciqe=0.5671520392035303
NF_78.png: uiqm=1.050107831541899, uciqe=0.6072149825227704
NF_8.png: uiqm=0.6967472663015736, uciqe=0.5629297499214941
NF_81.png: uiqm=0.33976217052698693, uciqe=0.5057569994855463
NF_85.png: uiqm=1.2641519251384568, uciqe=0.6133399266588111
NF_94.png: uiqm=0.8317101531447976, uciqe=0.5152454493461113
NF_95.png: uiqm=1.1474861071276325, uciqe=0.5301596499628862

Average: uiqm=0.6176777808450911, uciqe=0.5599617524629728

