1.jpg: NIQE=27.606759784184078  with dealing time: 60.133551597595215
10.jpg: NIQE=24.995200313360524  with dealing time: 58.01727867126465
100.jpg: NIQE=23.58082344608823  with dealing time: 58.70103645324707
101.jpg: NIQE=22.718653068684272  with dealing time: 57.53580832481384
102.jpg: NIQE=28.353135796427573  with dealing time: 59.79664444923401
103.jpg: NIQE=29.190245688800648  with dealing time: 58.81270432472229
104.jpg: NIQE=28.14734625063447  with dealing time: 60.04211378097534
105.jpg: NIQE=28.22027358073043  with dealing time: 58.98814153671265
106.jpg: NIQE=28.303284171270914  with dealing time: 58.44617319107056
107.jpg: NIQE=22.73531979149675  with dealing time: 57.57363438606262
108.jpg: NIQE=27.47165430247529  with dealing time: 57.0466742515564
109.jpg: NIQE=29.071290296690364  with dealing time: 57.00008010864258
11.jpg: NIQE=24.62074606642062  with dealing time: 57.40982961654663
110.jpg: NIQE=32.68004127655798  with dealing time: 56.84659767150879
111.jpg: NIQE=33.36736174961529  with dealing time: 58.004043102264404
112.jpg: NIQE=28.904290067282375  with dealing time: 57.77999258041382
113.jpg: NIQE=28.99575585021479  with dealing time: 57.30834150314331
114.jpg: NIQE=33.564550229923746  with dealing time: 57.75800013542175
115.jpg: NIQE=33.69059616883543  with dealing time: 56.78129839897156
116.jpg: NIQE=23.373169824636808  with dealing time: 56.9466335773468
117.jpg: NIQE=23.829341555280454  with dealing time: 57.32853174209595
118.jpg: NIQE=27.737778059508198  with dealing time: 55.02242660522461
119.jpg: NIQE=23.52851381432206  with dealing time: 58.47183895111084
12.jpg: NIQE=24.661168765973027  with dealing time: 59.46722745895386
120.jpg: NIQE=30.233305835954813  with dealing time: 58.482664823532104
121.jpg: NIQE=24.3580192305154  with dealing time: 58.24641132354736
122.jpg: NIQE=23.376788631157073  with dealing time: 57.490641355514526
123.jpg: NIQE=23.693831478995254  with dealing time: 57.637625217437744
124.jpg: NIQE=23.363847676838866  with dealing time: 56.904478549957275
125.jpg: NIQE=24.32079629631824  with dealing time: 56.987452030181885
126.jpg: NIQE=24.696482191686176  with dealing time: 59.21476435661316
127.jpg: NIQE=23.170603255595147  with dealing time: 58.51947283744812
128.jpg: NIQE=24.730076706688738  with dealing time: 58.44293999671936
129.jpg: NIQE=22.02517395838121  with dealing time: 58.47755575180054
13.jpg: NIQE=27.577391563307913  with dealing time: 61.22259831428528
130.jpg: NIQE=21.372677209934007  with dealing time: 57.12897610664368
131.jpg: NIQE=23.104345827443453  with dealing time: 56.114360094070435
132.jpg: NIQE=23.418343313159458  with dealing time: 56.911150217056274
133.jpg: NIQE=27.42745930068923  with dealing time: 59.835243940353394
134.jpg: NIQE=20.720323002387378  with dealing time: 57.36149048805237
135.jpg: NIQE=22.453378952178415  with dealing time: 57.82064867019653
136.jpg: NIQE=20.342101520073427  with dealing time: 55.16500997543335
137.jpg: NIQE=20.668555323601087  with dealing time: 51.88663125038147
