1.jpg: uiqm=0.5703271670328776, uciqe=0.5409490512450682
10.jpg: uiqm=0.5046781246582657, uciqe=0.5475108239786758
100.jpg: uiqm=0.6243607571656002, uciqe=0.5308073075257109
101.jpg: uiqm=0.5195971661803255, uciqe=0.5483946286895824
102.jpg: uiqm=0.5565179166562292, uciqe=0.5558983546068863
103.jpg: uiqm=0.5659175841371555, uciqe=0.5558256482629753
104.jpg: uiqm=0.6746660273518041, uciqe=0.558799509440538
105.jpg: uiqm=0.9145717946565725, uciqe=0.5415426676073998
106.jpg: uiqm=0.9029119833713235, uciqe=0.5359660781775297
107.jpg: uiqm=0.706511502949918, uciqe=0.5278819813464803
108.jpg: uiqm=0.5564046834476637, uciqe=0.5521543303391497
109.jpg: uiqm=0.5999430524191045, uciqe=0.5556342912102991
11.jpg: uiqm=0.5145218176097354, uciqe=0.5473168571725612
110.jpg: uiqm=0.7248350177646781, uciqe=0.5566351974898676
111.jpg: uiqm=0.8871455492775917, uciqe=0.5680544004134976
112.jpg: uiqm=0.6520644631999932, uciqe=0.5539674643634251
113.jpg: uiqm=0.655157030985392, uciqe=0.5569610871330075
114.jpg: uiqm=0.7436878792599603, uciqe=0.5599893032776506
115.jpg: uiqm=0.8155657677686672, uciqe=0.5520213455090688
116.jpg: uiqm=0.676410050620657, uciqe=0.5262857185518597
117.jpg: uiqm=0.6560171650930126, uciqe=0.5309968903318204
118.jpg: uiqm=0.406656699371062, uciqe=0.529029116356732
119.jpg: uiqm=0.4862385307597261, uciqe=0.5360748645594767
12.jpg: uiqm=0.5336297501741687, uciqe=0.5467515698175253
120.jpg: uiqm=0.48749074415521065, uciqe=0.5472266010525528
121.jpg: uiqm=0.6329321366712899, uciqe=0.5539566207216424
122.jpg: uiqm=0.6435846610084321, uciqe=0.5574911429175032
123.jpg: uiqm=0.40466378946404014, uciqe=0.5329278802606494
124.jpg: uiqm=0.44826648650606626, uciqe=0.539363570251394
125.jpg: uiqm=0.5920492896134657, uciqe=0.5508074235027294
126.jpg: uiqm=0.5013348704676424, uciqe=0.5453619643839466
127.jpg: uiqm=0.6034194797148877, uciqe=0.5379835318124749
128.jpg: uiqm=0.609190035487462, uciqe=0.5557590820415356
129.jpg: uiqm=0.6125361496721542, uciqe=0.5505253024448928
13.jpg: uiqm=0.4555423730693787, uciqe=0.5438289514424681
130.jpg: uiqm=0.5306043025316485, uciqe=0.5414316529087986
131.jpg: uiqm=0.6307517043599778, uciqe=0.5517129142493334
132.jpg: uiqm=0.6852014230450498, uciqe=0.5490875553156481
133.jpg: uiqm=0.19254140433616668, uciqe=0.5370151389746022
134.jpg: uiqm=0.6402126231176847, uciqe=0.5479991663131969
135.jpg: uiqm=0.6370445774035235, uciqe=0.5294801581991304
136.jpg: uiqm=0.7609369530591977, uciqe=0.5556020838450678
137.jpg: uiqm=0.5950450268731056, uciqe=0.549224682479885
138.jpg: uiqm=0.8224894554290096, uciqe=0.5548505545829859
139.jpg: uiqm=0.1352687982745791, uciqe=0.5294424776153844
14.jpg: uiqm=0.35199866506900296, uciqe=0.5424396094231045
140.jpg: uiqm=0.5591937637120971, uciqe=0.5478660219058902
141.jpg: uiqm=0.9380422884846924, uciqe=0.5595762456096555
142.jpg: uiqm=0.3246418875519032, uciqe=0.539361184700838
143.jpg: uiqm=0.8215298208031142, uciqe=0.553636756147846
144.jpg: uiqm=0.8814692054666861, uciqe=0.5534203052361618
145.jpg: uiqm=0.8830580810447753, uciqe=0.5461095847193
146.jpg: uiqm=0.6150440741674725, uciqe=0.5342656073364799
147.jpg: uiqm=0.5724084975861476, uciqe=0.5359678391769218
148.jpg: uiqm=1.007632766450339, uciqe=0.5552607596749923
149.jpg: uiqm=0.23780692942066534, uciqe=0.4999950285450929
15.jpg: uiqm=0.29358994135048194, uciqe=0.536124201831295
150.jpg: uiqm=0.6173349483558263, uciqe=0.5010876427820015
151.jpg: uiqm=0.8689632675858121, uciqe=0.5597032064852864
152.jpg: uiqm=0.6000790895248437, uciqe=0.5022162919214347
153.jpg: uiqm=0.6510662152171984, uciqe=0.5468801285640029
154.jpg: uiqm=0.8635602689499255, uciqe=0.5575709574674684
155.jpg: uiqm=0.14309393656350028, uciqe=0.5171650887110101
156.jpg: uiqm=0.9424143200929536, uciqe=0.5329530976744477
157.jpg: uiqm=0.29927282686747636, uciqe=0.5011182346051055
158.jpg: uiqm=0.2961395217675558, uciqe=0.5012419409960539
159.jpg: uiqm=0.4352634670452001, uciqe=0.505508559357041
16.jpg: uiqm=0.7833392684793027, uciqe=0.5523929064953534
160.jpg: uiqm=0.2366095317043967, uciqe=0.49510351630639454
161.jpg: uiqm=0.5460130232512712, uciqe=0.5569007214157513
162.jpg: uiqm=0.46281968739227597, uciqe=0.5562235171053233
163.jpg: uiqm=0.8566335544595443, uciqe=0.5396614235449024
164.jpg: uiqm=0.588368539688081, uciqe=0.5527602241731517
165.jpg: uiqm=0.5685061536354168, uciqe=0.5519449565902815
166.jpg: uiqm=0.48357271717768413, uciqe=0.5460054468652472
167.jpg: uiqm=0.6043094001298681, uciqe=0.5451123327421253
168.jpg: uiqm=0.5909155089823785, uciqe=0.5462617939095548
169.jpg: uiqm=0.6089744977585689, uciqe=0.5523861089912545
17.jpg: uiqm=0.8647734012148679, uciqe=0.5422034050774343
170.jpg: uiqm=0.38435745535694804, uciqe=0.5531956379665705
171.jpg: uiqm=0.398682310976159, uciqe=0.5538011734551707
172.jpg: uiqm=0.7240449583337016, uciqe=0.5495050640715939
173.jpg: uiqm=0.3746305258909593, uciqe=0.5531202547872113
174.jpg: uiqm=0.2818946769057984, uciqe=0.5539659029924769
175.jpg: uiqm=0.276887828360242, uciqe=0.5533978968433084
176.jpg: uiqm=0.9117027915179488, uciqe=0.5597345353836924
177.jpg: uiqm=0.3034413051958389, uciqe=0.5537819872716279
178.jpg: uiqm=0.5249665277862674, uciqe=0.5456872715241874
179.jpg: uiqm=0.8971095401067237, uciqe=0.5596075634947029
18.jpg: uiqm=1.265858059863187, uciqe=0.5284434297807197
180.jpg: uiqm=0.4748513259668618, uciqe=0.5489237698697327
181.jpg: uiqm=0.7138480558933407, uciqe=0.5027385194372087
182.jpg: uiqm=0.7958885610453196, uciqe=0.5115195203391033
183.jpg: uiqm=0.503832980401224, uciqe=0.5271879711404778
19.jpg: uiqm=0.8984138355869269, uciqe=0.5364455278612301
2.jpg: uiqm=0.900245136733343, uciqe=0.5633635717602696
20.jpg: uiqm=0.8245417226445204, uciqe=0.5293331408434683
21.jpg: uiqm=0.7962499173371975, uciqe=0.5254062725968497
22.jpg: uiqm=0.8890396285398339, uciqe=0.5794351620914278
23.jpg: uiqm=0.9575334318603179, uciqe=0.5736410411436207
24.jpg: uiqm=0.7804308592735214, uciqe=0.5738985777448611
25.jpg: uiqm=0.7855389527446662, uciqe=0.5562851910262726
26.jpg: uiqm=0.7996895750214117, uciqe=0.5417718066220935
27.jpg: uiqm=0.697549320733247, uciqe=0.5437494153176023
28.jpg: uiqm=0.6428783209357738, uciqe=0.520426686707892
29.jpg: uiqm=0.7424163846159784, uciqe=0.5449746245706665
3.jpg: uiqm=0.30818610504086685, uciqe=0.5258565385507139
30.jpg: uiqm=0.7834975725398049, uciqe=0.5615930664061979
31.jpg: uiqm=0.7664531952544497, uciqe=0.5484127821579167
32.jpg: uiqm=0.8031173848732607, uciqe=0.5594248799546248
33.jpg: uiqm=0.7139878093018196, uciqe=0.5555369398370877
34.jpg: uiqm=0.729007981799906, uciqe=0.5560353371900693
35.jpg: uiqm=0.46364164161817767, uciqe=0.5267496109867491
36.jpg: uiqm=0.5199250592224433, uciqe=0.5345318552823071
37.jpg: uiqm=0.554407563979766, uciqe=0.5386705677214301
38.jpg: uiqm=0.3433950684706977, uciqe=0.5243541100074725
39.jpg: uiqm=0.29185760238904906, uciqe=0.5439854496529798
4.jpg: uiqm=0.7605060529591381, uciqe=0.5149492942197753
40.jpg: uiqm=0.4195684951296434, uciqe=0.5209887630418074
41.jpg: uiqm=0.41225751079544615, uciqe=0.5200927375317784
42.jpg: uiqm=0.541350778920806, uciqe=0.5437321390646682
43.jpg: uiqm=0.33834713026913377, uciqe=0.5099762792227676
44.jpg: uiqm=0.38802142960137126, uciqe=0.5271423091220794
45.jpg: uiqm=0.38885976370002456, uciqe=0.5261108071570256
46.jpg: uiqm=0.3643863235252853, uciqe=0.5267677956966678
47.jpg: uiqm=0.3850540373901363, uciqe=0.5295324675102562
48.jpg: uiqm=0.12043146687541001, uciqe=0.5554837491937255
49.jpg: uiqm=0.5073732559284458, uciqe=0.5736328700503392
5.jpg: uiqm=0.6461044281747651, uciqe=0.5028403649762073
50.jpg: uiqm=0.4544987945313463, uciqe=0.5745448165455684
51.jpg: uiqm=0.7623463131995372, uciqe=0.5448881889946101
52.jpg: uiqm=0.37392555156916796, uciqe=0.5441661601649902
53.jpg: uiqm=0.7813203513893374, uciqe=0.5495213731686848
54.jpg: uiqm=0.4043119262611264, uciqe=0.5437022490709369
55.jpg: uiqm=0.4819220386613635, uciqe=0.5479596563290126
56.jpg: uiqm=0.375304846552604, uciqe=0.5418933852190471
57.jpg: uiqm=0.38786605061529295, uciqe=0.545001121543905
58.jpg: uiqm=0.7036237244911905, uciqe=0.5459288598848435
59.jpg: uiqm=0.412182098117112, uciqe=0.5461064210506923
6.jpg: uiqm=0.6055680863880649, uciqe=0.508576686347085
60.jpg: uiqm=0.34456529004753567, uciqe=0.5559385410360207
61.jpg: uiqm=0.29908708296184255, uciqe=0.5433638395116129
62.jpg: uiqm=0.1926793358151782, uciqe=0.5198955010651553
63.jpg: uiqm=0.4587084457595026, uciqe=0.572611585923283
64.jpg: uiqm=0.3895495641331699, uciqe=0.5541649768067306
65.jpg: uiqm=0.45226061645717563, uciqe=0.5444887611425602
66.jpg: uiqm=0.44434925361240635, uciqe=0.5502814537332417
67.jpg: uiqm=0.25153691624866514, uciqe=0.5020751126534886
68.jpg: uiqm=0.3630559166022139, uciqe=0.5382435184194084
69.jpg: uiqm=0.3985579774576846, uciqe=0.5366529043208043
7.jpg: uiqm=0.5954676918721006, uciqe=0.5101793932024059
70.jpg: uiqm=0.42622695153894685, uciqe=0.5442034856946897
71.jpg: uiqm=0.43190146075654845, uciqe=0.5446295186787518
72.jpg: uiqm=0.43018184971664947, uciqe=0.5420731124464154
73.jpg: uiqm=0.4219488472104806, uciqe=0.5449138799421386
74.jpg: uiqm=0.47400173675658597, uciqe=0.5508346768769918
75.jpg: uiqm=0.4198258951439396, uciqe=0.5418350304220274
76.jpg: uiqm=0.4104058475084227, uciqe=0.541737595474797
77.jpg: uiqm=0.5533816179479718, uciqe=0.5519867813306971
78.jpg: uiqm=0.5361913648555663, uciqe=0.5517498983530931
79.jpg: uiqm=0.41724725257975515, uciqe=0.5363696630866336
8.jpg: uiqm=0.5833496737583561, uciqe=0.5073662390845893
80.jpg: uiqm=0.5569127921023956, uciqe=0.5542268320913014
81.jpg: uiqm=0.6080020189628605, uciqe=0.5571457257948567
82.jpg: uiqm=0.48293767857982883, uciqe=0.5596758245689191
83.jpg: uiqm=0.16674128820243, uciqe=0.5295179885832249
84.jpg: uiqm=0.49838125563729835, uciqe=0.54975912663385
85.jpg: uiqm=0.4963371230648937, uciqe=0.549635518670677
86.jpg: uiqm=0.3801766751796732, uciqe=0.539317137531257
87.jpg: uiqm=0.7312093437768066, uciqe=0.5445529462222141
88.jpg: uiqm=0.4253751038776311, uciqe=0.557644658013445
89.jpg: uiqm=0.43720019841640767, uciqe=0.5578144609850954
9.jpg: uiqm=0.5082650554312735, uciqe=0.5475002367857538
90.jpg: uiqm=0.8496421798469279, uciqe=0.5453817027548411
91.jpg: uiqm=0.8444281734092178, uciqe=0.544326090560528
92.jpg: uiqm=0.8847569038532845, uciqe=0.5335863964142926
93.jpg: uiqm=0.84891055067306, uciqe=0.529555229390773
94.jpg: uiqm=0.8101736202586585, uciqe=0.52111421771284
95.jpg: uiqm=0.7559295203699778, uciqe=0.5196832421657998
96.jpg: uiqm=0.7899378789594427, uciqe=0.5380742603461257
97.jpg: uiqm=0.8197741984436079, uciqe=0.5462600446826511
98.jpg: uiqm=0.610868039520998, uciqe=0.5329092133615543
99.jpg: uiqm=0.7060813587043264, uciqe=0.5467992683171919

Average: uiqm=0.578216042668294, uciqe=0.5420494990661289

