1.png: NIQE=57.27291721193886  with dealing time: 49.12993264198303
10.png: NIQE=49.928472918222546  with dealing time: 57.202961444854736
11.png: NIQE=55.32546516629861  with dealing time: 60.734821796417236
12.png: NIQE=44.67338078235276  with dealing time: 55.39637565612793
13.png: NIQE=36.695526743373904  with dealing time: 54.82200908660889
14.png: NIQE=44.6236208905624  with dealing time: 60.02693772315979
15.png: NIQE=46.49967420141115  with dealing time: 53.38579702377319
16.png: NIQE=45.60498544117452  with dealing time: 52.882585525512695
17.png: NIQE=40.79526244358403  with dealing time: 60.34959101676941
18.png: NIQE=37.379667530826545  with dealing time: 58.21981167793274
19.png: NIQE=44.72969338413103  with dealing time: 58.803574562072754
2.png: NIQE=52.520739128078084  with dealing time: 56.76678943634033
20.png: NIQE=43.81674590563114  with dealing time: 53.95064330101013
21.png: NIQE=35.77503795299103  with dealing time: 55.86447620391846
22.png: NIQE=45.67023976707388  with dealing time: 59.19008541107178
23.png: NIQE=40.91722542542029  with dealing time: 55.535730600357056
24.png: NIQE=38.21719012999366  with dealing time: 58.25819516181946
25.png: NIQE=42.29495095330645  with dealing time: 55.97645854949951
26.png: NIQE=41.33187820279749  with dealing time: 55.869980573654175
27.png: NIQE=37.486569923760904  with dealing time: 57.206931829452515
28.png: NIQE=37.137694456623414  with dealing time: 54.63595628738403
29.png: NIQE=56.89207542699147  with dealing time: 50.3152174949646
3.png: NIQE=56.364968117284164  with dealing time: 53.90726971626282
30.png: NIQE=51.11974070214579  with dealing time: 56.299386739730835
31.png: NIQE=39.99088406843331  with dealing time: 54.24121832847595
32.png: NIQE=39.529491587492416  with dealing time: 55.70467925071716
33.png: NIQE=35.84481756663934  with dealing time: 52.62511110305786
34.png: NIQE=41.350117724342894  with dealing time: 53.54954433441162
35.png: NIQE=38.876950506599265  with dealing time: 53.724254846572876
36.png: NIQE=42.62610871476541  with dealing time: 52.149677753448486
37.png: NIQE=37.07389917747506  with dealing time: 52.79028820991516
38.png: NIQE=38.59379981146758  with dealing time: 55.81812381744385
39.png: NIQE=51.56603293675025  with dealing time: 54.27782392501831
4.png: NIQE=51.99290405856191  with dealing time: 58.73318362236023
40.png: NIQE=35.25742374096129  with dealing time: 54.02729034423828
41.png: NIQE=40.66620635165116  with dealing time: 53.06831884384155
42.png: NIQE=43.92564393029514  with dealing time: 55.269139766693115
43.png: NIQE=38.77875045501932  with dealing time: 55.38224411010742
44.png: NIQE=37.28001004933132  with dealing time: 54.30264234542847
45.png: NIQE=35.485892608379864  with dealing time: 54.16919136047363
5.png: NIQE=46.09389776138906  with dealing time: 54.38011074066162
6.png: NIQE=59.80424232410246  with dealing time: 54.718722343444824
7.png: NIQE=44.351090643986836  with dealing time: 55.76144886016846
8.png: NIQE=62.80966975400412  with dealing time: 59.518643856048584
9.png: NIQE=45.85979596587608  with dealing time: 53.28161025047302

45 Image Average: NIQE=44.240696723188854, TimePerImage=55.382773054970635, SumTime = 2492.2247874736786s

