1.png: uiqm=0.6433766384643198, uciqe=0.5848434057754393
10.png: uiqm=0.8789585771209711, uciqe=0.5863921737573592
11.png: uiqm=0.5718141445808401, uciqe=0.5520464593799366
12.png: uiqm=1.0070191163343147, uciqe=0.5576467564222352
13.png: uiqm=1.1824293008228666, uciqe=0.5781227366637689
14.png: uiqm=0.4545870612557805, uciqe=0.5430544728163123
15.png: uiqm=0.7534855683805377, uciqe=0.591723591525112
16.png: uiqm=0.8437214549507439, uciqe=0.5607285790777063
17.png: uiqm=0.9694988168880675, uciqe=0.6460921059470135
18.png: uiqm=0.9405330946550056, uciqe=0.6630142023389065
19.png: uiqm=0.763607002279172, uciqe=0.630303767245632
2.png: uiqm=0.7290371361901365, uciqe=0.6120870063370893
20.png: uiqm=0.7725222357931334, uciqe=0.6378962159847263
21.png: uiqm=0.9252032339767986, uciqe=0.6686921423137604
22.png: uiqm=0.9375814354793376, uciqe=0.6190297096676198
23.png: uiqm=0.7717501751198158, uciqe=0.5833167147626866
24.png: uiqm=0.8801097294362407, uciqe=0.6530036951881244
25.png: uiqm=0.8694476438462224, uciqe=0.6165856903282159
26.png: uiqm=0.8401827967616202, uciqe=0.6008726391200572
27.png: uiqm=0.8065033577723538, uciqe=0.6343718357103946
28.png: uiqm=0.9313484208777985, uciqe=0.6398267805938349
29.png: uiqm=1.0721658976719182, uciqe=0.5932148118191036
3.png: uiqm=0.9327727845027645, uciqe=0.6070171144544114
30.png: uiqm=0.7144440571868557, uciqe=0.5749437267960695
31.png: uiqm=0.9859366425908349, uciqe=0.6204980217965897
32.png: uiqm=0.9577806441905334, uciqe=0.6184857702142145
33.png: uiqm=1.3505563161081315, uciqe=0.6087205622096346
34.png: uiqm=1.114994064620646, uciqe=0.5977751468528597
35.png: uiqm=1.134495589393353, uciqe=0.6024918647523377
36.png: uiqm=1.201929540938249, uciqe=0.6004552944603303
37.png: uiqm=0.9990552517181515, uciqe=0.6396807590984281
38.png: uiqm=0.9891442072460366, uciqe=0.6331295274629754
39.png: uiqm=0.9435191264653318, uciqe=0.6491393138119075
4.png: uiqm=0.45271066003570026, uciqe=0.5777081290592221
40.png: uiqm=1.3061850779586808, uciqe=0.5599813712713202
41.png: uiqm=1.0902916398935893, uciqe=0.5627018302435721
42.png: uiqm=0.7247874833470539, uciqe=0.6042278989222324
43.png: uiqm=1.1601172888542988, uciqe=0.6472061895257375
44.png: uiqm=1.1130650645500135, uciqe=0.6364521883590712
45.png: uiqm=1.066148792574314, uciqe=0.6276823680995071
5.png: uiqm=0.6397110371217546, uciqe=0.5694769239409295
6.png: uiqm=0.7212500721379621, uciqe=0.5917882503900651
7.png: uiqm=0.6775585852344855, uciqe=0.5342494887078562
8.png: uiqm=0.6752390257428125, uciqe=0.6261359338777308
9.png: uiqm=1.1053776829418611, uciqe=0.5716020805024333

Average: uiqm=0.9022656327558094, uciqe=0.604764783279655

